-983,3008,-7677,-12189,1538,2377,-991,2769,-7838,-11768,2073,2304
-9077,-738,-7263,-14903,8256,1,-7295,-1487,-7228,-12802,11894,-17608
-4629,-5376,-4093,-16320,1058,2,-3913,203,-5126,-14256,-8801,-15977
-26119,1870,3947,-8140,1155,1539,-20181,-22065,6628,-7344,-27194,3832
-8451,-1282,16303,-14204,1104,514,-2479,-17863,16118,-10293,-3123,22265
-173,264,14223,-10220,5168,2272,6755,-15451,14612,-980,7680,31320
8889,-4218,8069,168,1160,2049,14485,-12175,8970,872,9363,31775
18969,-5346,3967,768,1408,520,19443,-7787,3570,7615,3273,22518
20021,-4126,355,10641,1060,8196,22493,-3439,-206,14876,1535,8345
19211,-4610,-5705,12609,6792,-5112,18975,-4809,-5382,13387,16039,-5481
7933,-762,-9869,9224,4128,-12288,7443,-823,-296,8274,4496,-12254
-2503,4230,-95,673,3088,-16344,-3021,2803,-278,192,3154,-18122
-5099,-3330,-18413,-12282,2768,1046,-6313,107,-19978,-4281,16585,-32443
-9487,-4850,-11409,-16366,5544,1028,-7877,-305,-10134,-16382,4354,1028
-21519,-952,10079,-10240,-11720,0,-20829,425,6102,-10220,-9592,2056
-637,-138,16231,1026,512,13,2579,-5095,16082,555,2,772
11233,-5184,5091,-13056,8532,1414,13557,-4923,5368,-2694,11223,21266
19449,-5330,-33,8360,2053,1680,20215,-3197,-864,9984,1631,16888
21033,-4226,-3409,8196,3588,140,21459,-1923,-3714,11551,4353,88
15913,-3282,-8247,32,6410,258,15945,-1129,-7690,7142,16121,-10472
7785,-5370,-33,544,4,-16256,6695,-3351,-294,136,5472,-18999
-8727,3846,-10521,698,5664,-20207,1057,3833,-11284,227,15993,-20366
-9685,-5090,-16777,-7872,8450,-24158,-8981,823,-17266,-6584,10435,-22117
-24021,-4354,-16477,-14078,-4480,-11134,-25531,-5111,-16270,-14208,-6937,-12219
-9485,-1146,877,-15870,2560,7190,-8217,-17561,2502,-14943,-24634,9296
-8647,-4846,6107,-13280,4112,268,3383,-20817,9120,-3976,-14961,18441
20329,-2908,13665,-13691,328,0,20661,-7587,13334,-3643,10089,25830
17129,-4800,4703,80,6288,524,16823,-5299,4514,4340,14447,17302
17421,-4824,355,10752,4228,1028,17637,-3693,914,11124,7556,5471
15369,-4738,-4193,8737,0,1154,15007,-735,-4672,8741,17010,-963
6697,-2718,-9375,5,256,-7962,8451,-2247,-8494,4,33,-8128
-8423,4002,-11377,155,5188,-14784,-261,8891,-11462,-429,16108,-15246
-26071,-4798,-15469,-15816,4240,-19640,-15933,1043,-15586,-9687,11159,-16418
-19799,-3954,-12185,-22015,4232,-16384,-12073,-6195,-11410,-18074,-11405,-13353
-7683,-4066,11135,-14016,1056,7785,-4541,-19449,12860,-8187,-22427,9522
6647,-1332,14207,-7488,5384,16,6675,-5391,14168,-7920,4962,35
14833,-5026,9383,129,4102,2351,17303,-10773,8836,3983,8707,24498
14857,-3330,1039,5267,4217,162,17277,-6163,3522,6270,6403,16612
19097,-2170,1741,8448,4740,530,20021,-1385,1500,12052,7355,3849
15867,-5312,-3989,10244,4292,70,15859,-509,-2836,10512,12986,-5977
6863,-5366,-8323,8258,2048,-12768,7891,-4319,-8678,9408,2112,-13296
-7431,2830,-77,1025,4097,-18866,1211,9263,-13762,2438,15052,-19195
-9681,-5314,-19601,-7927,40,-20443,-9367,-1503,-19258,-7401,8995,-19622
-19703,-4278,-14401,-15708,768,-14192,-17893,-4905,-14108,-15800,1442,-12255
-9751,-5240,-133,-13166,2099,7104,-7881,-5293,2322,-13808,2500,36
811,-2178,13151,-8175,5635,515,787,-1837,12120,-8000,13,394
18987,-4994,13407,64,1,646,21025,-7689,12724,217,8437,29898
23563,-5378,5807,7176,6156,21057,22825,-3767,5350,7358,15357,20233
17129,-4060,369,8457,6217,4245,22307,-1821,1128,15350,8273,5425
6889,-5058,-5233,4225,0,-8155,6839,-4583,-5422,3840,344,-8191
6761,-674,-10401,516,3584,-15774,7219,-791,-10534,256,3105,-15864
-7605,-4322,-14971,1248,32,-25503,1933,8187,-12544,761,14615,-17677
-9741,-2498,-15261,-14568,2088,-25591,-9435,-2855,-15038,-14304,48,-25432
-20245,-7290,-10511,-16382,-11825,-15295,-20427,-8503,-10926,-12979,-11232,-14816
-9599,-18914,-2049,-16384,-23551,128,-9401,-19709,864,-15854,-20647,1848
-5623,-22012,8655,-14336,-22254,0,-2241,-22189,9650,-8651,-17021,21590
13327,-4058,16287,-7936,-3071,1312,16113,-11671,16116,-3784,-611,29225
18925,-5378,10143,0,14344,21760,19353,-9157,9294,4366,15946,22168
19961,-5306,3991,2306,19968,13984,19853,-2647,3156,10454,20116,15707
15881,-5296,-1505,4096,10752,5644,20645,-3085,-1116,13619,11301,7047
9865,766,-5277,2216,18496,161,8979,879,-6350,2208,16456,-1885
11065,4958,-9373,260,11552,-9035,12269,6737,-9024,8235,15576,-9596
-6679,9022,-13151,2068,12416,-20160,5587,8873,-13646,3852,14308,-20743
-7703,-2496,-161,-6912,25,2336,-7899,-2831,-18766,-6126,16,2059
-20735,-17058,-21651,-15814,-7610,2436,-21101,-16951,-22572,-12793,-7926,2512
-20999,-25792,-3193,-15856,-32767,2440,-18527,-24223,-336,-11311,-32768,732
-9607,-16350,13231,-16255,-17910,1333,-5409,-16943,12962,-11322,-15868,18965
14969,-5378,13317,128,-15360,130,15143,-4023,15198,8,-14268,425
18921,-4094,8159,150,3938,27336,18981,-3975,8022,192,5460,27556
18921,-5378,3951,4112,16712,25888,20051,-5431,3794,4992,16465,24960
14955,-5442,-65,1,8192,16864,18171,-5337,226,10918,8232,15964
15881,768,-157,4178,13332,4292,15159,1137,-762,4356,13577,4640
7609,6910,81,4100,16384,532,6803,7009,-230,4036,16700,1028
8745,7680,119,1792,16392,33,8421,9009,-7732,9689,17108,-16684
-6679,8574,-157,1092,24,-19413,5485,8361,-11802,3204,18771,-19192
-4119,3224,-61,-7783,18439,-21366,-4485,2829,-300,-7804,18432,-21472
-19479,-9458,-16289,-15343,4132,658,-19715,-9463,-15632,-15868,129,544
-17927,-17410,-11361,-6584,-20462,1760,-17805,-16535,-11486,-6646,-24576,768
-7639,-19394,2463,-7903,-32768,2448,-927,-17417,4966,-6281,-31934,9171
7235,-31848,10875,-8190,-16236,320,13221,29973,13114,-1549,-13046,25784
15419,-4256,10739,-9824,4424,1064,15415,-4403,10194,-9960,4640,0
14835,-5352,2655,4507,18980,530,16147,-4399,1750,4237,18436,0
15369,-2298,3169,2048,10368,108,15283,-2227,2836,2571,10240,16
9993,3086,-2721,1088,12484,2048,9623,4905,-3222,14167,13863,-1840
11277,11016,-161,1543,161,3082,11141,10975,-9384,10003,14453,-17385
6697,11082,-13633,314,4482,211,7273,10995,-14180,-219,21370,-20491
-3591,-4650,-17069,-15360,14364,-23420,-3309,-5431,-16488,-14848,12358,-23552
-9747,-16570,-13979,-7036,-12272,170,-7099,-15939,-13928,-6922,-14274,-23400
-6931,-23246,351,-6600,-32768,576,-3107,-21681,4240,-2490,-32768,5935
2673,-5362,9055,-16374,-7903,304,2605,-20843,7836,-15445,-4260,24520
4353,-5338,9109,-7040,-6125,32603,5607,-22199,8852,-4965,-6634,32767
15133,-5102,10087,180,4387,1,16691,-5299,8218,160,6656,5
