643,72,41,-511,-134,35,1132,-7487,-3253,-425,-88,-76
693,80,81,-503,-162,39,1172,-7505,-3285,-470,-119,-15
627,78,15,-501,-187,47,1148,-7521,-3233,-466,-47,34
639,54,-1,-430,-261,54,1244,-7505,-3319,-487,-61,96
561,42,129,-453,-299,60,1306,-7517,-3257,-437,13,59
583,118,41,-409,-304,66,1344,-7641,-3059,-478,25,91
603,8,-95,-361,-240,71,1244,-7735,-2587,-260,457,443
369,-158,75,-125,-269,276,1274,-8117,-1059,446,1755,1369
799,-1360,553,-1184,1359,680,702,-7819,-1187,2176,5269,4757
-3943,1970,5199,-3664,4121,-905,-5068,-10281,433,5879,8453,11322
-7299,3824,4183,-10253,13706,-8255,-9200,-4917,-1341,5813,11881,14767
-9341,4508,1035,-13527,25171,-20375,-8484,-4635,-8261,1464,5040,16326
-5531,-1044,-5511,-6968,24147,-23677,-9622,-9541,-10315,678,-14963,10359
-2475,-858,-8477,7474,14099,-20073,3424,-4645,-9011,2095,-5799,16285
6601,-2496,-9565,9880,1781,-22195,4608,-2853,-8779,-11489,1651,27088
11839,-5308,-12305,15303,10712,-2342,9044,937,-10921,-7591,3382,17638
8365,-15834,-10211,22640,-11748,20574,8200,1751,-12031,-18405,8933,8233
9103,114,-6727,31527,1802,15976,7522,-3115,-5249,-23737,5758,-6167
-2415,7222,4137,32767,15249,15160,3744,-7871,3703,-24904,20149,-18308
-27397,2886,7475,9511,-5600,1227,-21402,-11279,9159,2101,22685,421
-15671,1612,8075,-11063,-3536,-9687,-14386,1257,331,24211,18195,11705
-2043,-2804,-4055,-15733,3754,-25468,-2246,2873,-10103,3863,6024,26033
7137,-6268,-6421,-10192,2898,-23298,6480,355,-14451,2911,-22702,5846
17665,-10314,-10461,-5178,-4897,-13440,16812,1445,-8775,-3486,8309,14507
19061,-11528,-9375,451,-21693,11303,18806,3245,-8709,-10714,-12989,5202
7983,-9500,-13119,9953,-18043,20824,14912,3111,-9981,-12712,-11337,-10519
4519,-4096,-7845,26181,11305,16269,8700,-2727,-5299,-17367,1351,-28505
-13295,-1406,9301,24824,12329,17045,-7124,-9687,2077,-16948,17946,-15581
-27397,4006,11553,3834,1147,-1539,-23394,-789,2413,8027,23304,10585
-16549,656,5723,-11511,-3296,-12659,-13762,7635,-9165,4471,14571,26447
475,-2906,-5849,-16918,2981,-23760,-2746,-667,-5875,3551,-27418,16862
11027,-4422,-7727,-10669,4179,-25639,10122,2659,-6737,2961,-14085,8368
22769,-15624,-10773,544,-2917,-5578,20828,5541,-11213,1999,715,6202
20535,-13290,-11963,1367,-30696,22286,16982,3077,-12841,-13103,-11129,-5250
7443,-2358,-7459,22020,-895,23176,9614,-2827,-6361,-24522,2851,-27439
-1911,4952,3965,23921,20173,13615,-3190,-10727,5267,-24589,11649,-21066
-27397,10132,3581,7318,875,471,-26016,-10853,603,2889,22557,9921
-22333,816,11303,-6167,3833,-14420,-16578,2733,-3877,16493,24253,5334
-3947,-1780,-1783,-16841,-3857,-18518,-3412,431,-8357,1968,607,25099
8975,-4304,-8909,-14137,1903,-25322,14802,-5521,-9047,5205,-28263,11196
23011,-16118,-13049,-1612,3672,-14615,17430,183,-8717,-12293,18184,15199
23781,-14760,-10949,8102,-4782,14690,24516,4389,-12599,675,-23824,-6397
6885,-5042,-5279,10878,-16993,32767,14212,-1123,-6419,-27339,395,-21213
-1823,6210,3491,23831,11811,20488,392,-12503,5185,-25330,18153,-25391
-27397,7296,4833,6223,5348,-1838,-26016,-8789,-539,10185,2989,3942
-18637,-634,5531,-6313,1244,-12577,-17130,5331,-2349,13779,21027,16338
-761,-5048,-3019,-15788,-1826,-23634,2036,2795,-5945,8648,9418,19042
5703,-6550,-6005,-12056,390,-24890,9060,485,-11805,-1448,-19309,10612
20249,-15214,-13281,-6511,1880,-9089,11468,-2863,-4075,16694,-30370,16680
17911,-14624,-13029,1902,-23068,17685,20326,4097,-12459,-5190,-10694,-6902
7509,-5940,-9703,19011,-10647,22306,12638,-863,-8231,-21529,-6166,-22092
-3035,8976,2573,25365,19984,10568,-1026,-11751,2259,-29622,9591,-22999
-27133,8234,15283,6212,3417,-3961,-23360,-11057,6245,8692,14145,8221
-18859,-296,3959,-10707,-707,-11186,-19764,5929,-6819,9641,9665,22941
-1551,-2580,-5313,-18830,-6296,-21440,-3562,-3529,-7613,6626,-6600,21214
6459,-5898,-9457,-10827,2873,-27665,12086,-6835,-7789,-1360,-23714,12988
17721,-12326,-12335,-5586,4657,-19388,16548,5553,-13593,-1132,17458,21065
24213,-14336,-9935,4127,-8359,2064,23618,3539,-12711,1838,-7817,5648
14941,-14732,-11027,3229,-28424,28580,19956,3305,-13095,-12622,-11121,-7126
4281,-4164,-8311,22113,1536,20465,11398,-2943,-5719,-21324,654,-30210
-11949,6400,7841,23260,9787,14868,-5208,-13589,6397,-18195,21814,-16879
-25283,7382,16485,2266,3215,-7351,-24544,-6799,12203,5517,2866,4990
-14217,-608,4139,-10666,6204,-14974,-20994,8535,-10477,2423,6646,31705
1639,-4724,-5633,-18089,-6526,-19841,-1242,2601,-8141,7076,-966,16075
12143,-7992,-9477,-8894,8235,-24598,10048,921,-6203,-12831,-17580,6567
20831,-15784,-10017,-667,1886,-7893,21322,10419,-13111,-6969,12511,14545
20125,-15298,-10213,2666,-22186,20172,21398,4211,-12471,-5046,-12861,-8132
7117,-8534,-10247,15162,-16180,24597,13046,481,-10683,-21015,-4761,-22592
1039,3802,-829,28764,16759,12483,3284,-9335,1253,-29092,8129,-27020
-24285,12348,9691,9103,-2441,-4735,-26016,-15769,1581,2375,20316,9975
-19689,3098,11387,-7554,11380,-15744,-18142,5377,-2231,22818,28615,1542
-2565,-3578,-3767,-16995,-6675,-14392,-4666,837,-8365,5021,-3015,24188
7801,-7034,-9603,-18106,-279,-20416,14534,-7487,-11669,7871,-23301,14369
17395,-15236,-13891,-4433,5911,-14302,13282,131,-9099,-8202,17857,16840
20257,-16048,-12021,2694,-12438,9831,22816,3473,-11405,4934,-23605,-445
10439,-11928,-11365,14291,-23450,26453,15576,2079,-10493,-20379,-4730,-15622
4641,-2010,-4787,28620,10757,17597,6456,-5127,-3153,-24856,8643,-32376
-20101,9854,1211,10974,-336,6881,-26016,-5281,-14639,3058,12401,2623
-23375,4392,13139,-4057,4614,-10997,-25150,4319,1499,14340,15331,11281
-9971,-804,1189,-15615,-1992,-12843,-5974,1231,-6059,9226,2006,27003
5043,-6166,-7213,-15677,1994,-25067,4866,-605,-8811,3531,-9847,8441
15515,-12578,-10063,-8071,6087,-21256,12108,-1213,-6689,-9703,-11662,11160
21721,-14456,-11113,2040,-5025,1232,20182,4381,-10391,2482,-10446,7859
13367,-13632,-12511,5279,-27319,25454,20216,6297,-12979,-12158,-9617,-13314
4157,-4934,-5493,20216,-2387,22005,10970,-3161,-4521,-24360,-4035,-27420
-9991,16202,3573,17619,24188,10598,-12204,-18431,7795,-20575,22816,-8426
-22155,3322,12875,-1619,4431,-8079,-20782,-3853,9241,19038,15956,4682
-11819,-1154,2907,-11680,-397,-11806,-14262,3093,-8089,8375,19084,18312
2543,-4230,-4289,-16551,-794,-22419,-808,247,-8327,7545,-22218,17147
10945,-8420,-6655,-10268,7735,-22073,8234,-591,-9823,950,-1529,14687
20259,-15764,-12121,-2174,-686,-5719,15468,1547,-10951,3538,306,13694
16551,-14766,-11759,2458,-23088,19930,20258,5577,-14357,-7031,-12723,-5920
5063,-7888,-7189,14568,-12996,23401,12660,715,-6525,-24428,-3998,-21099
