12393,738,32634,5144,4397,1560,14293,-4763,-15271,-19399,5725,2589
9163,-2796,-7030,128,28672,14404,8355,-8199,-6817,-28342,-1722,-19263
-18837,-2726,3082,16905,8192,8968,-10979,-14695,-207,-12481,-8865,-18942
-23975,-1438,17368,1024,8610,8240,-8545,-9481,24899,1894,11042,10288
-4407,-1686,-1194,1030,12800,2064,-493,-5719,-67,9394,15686,19932
8397,-4964,-8870,40,0,3584,8925,-4185,-6929,2116,8300,20540
11913,-2062,-16950,-6000,708,8228,21127,2493,-10975,-6617,2894,8108
24157,-1032,-17590,10784,520,777,25149,2753,-9827,-4649,-5237,-17297
9865,-374,-164,9,272,46,15711,-10063,2211,-14261,6148,-32099
-25015,10058,938,288,-12024,649,-24931,-20517,-3093,126,-11333,-12480
-22895,-2918,7274,32,9226,609,-12093,-6367,7915,6305,14171,18702
3689,-3050,-8880,1058,24609,12,1039,1593,-11727,-1179,22758,28959
20281,-3498,-17014,51,-14332,20482,21563,-2127,-8107,502,-13603,21385
26057,-1960,-17584,290,-13310,8218,31607,3993,-9477,-6018,-11680,-9089
8401,-2358,-6324,16496,1417,2336,15737,-3177,-5721,-11661,-4444,-30958
-11379,-2870,-692,1064,10248,0,1583,-20369,6923,-15360,10405,-32768
-25015,11722,-1154,130,-24256,-8192,-13479,-18825,28527,-878,-1206,1326
-24999,-2804,1034,3088,3240,2688,-7791,-5615,741,11494,17099,24039
7809,-3488,-12086,64,1152,12688,10069,-4009,-7179,3335,10824,28935
20107,-1458,-26022,-8172,770,16641,21277,2715,-10175,-3340,-156,16444
25801,-1962,-13228,1224,1100,12546,29831,5793,-9825,-7669,-6982,-18522
7897,-2998,-6802,2056,4098,400,11675,-7589,-2241,-12995,-3627,-31004
-25015,1290,844,7293,16,64,-24931,-14571,-4461,50,-10133,-17835
-23209,-2146,7306,3600,11788,526,-17665,-8651,6311,4160,11890,16105
-1399,-3074,-4214,2,4626,8468,-677,-571,-3917,4090,5379,25585
11915,-934,-9392,0,1024,4872,13809,-993,-7225,1972,3093,20705
24139,1516,-17524,20,-7808,8,25385,3847,-8989,-1401,-8715,-579
8269,-1334,-17078,8448,3088,1538,21083,3079,-8177,-8254,-4297,-24163
621,-1264,-882,16896,8391,0,2945,-10969,2945,-12986,-5590,-32398
-25015,4714,2898,105,-24535,2082,-14067,-21683,8469,1741,-21358,-2915
-24981,-3510,5002,6104,4210,12293,-7425,-4569,3559,12789,21581,14166
8265,-3418,-5302,1024,2336,4096,5549,-6093,-1799,1838,13287,29108
20235,-116,-27178,1232,2048,5265,21579,903,-10765,1203,1278,21310
28267,4682,-15502,4198,-9980,64,28819,5065,-7689,-1625,-9554,-12240
14937,-662,-9380,5540,0,542,14113,-1505,-6093,-8799,-6453,-26390
-8567,-2310,204,16396,8516,320,-6859,-16719,5099,-9233,-1893,-29504
-25015,-3238,11794,-3072,-16239,422,-13255,-16933,22257,-3638,-11292,5338
-24471,-2992,-1174,2320,15154,3844,-6023,-3041,3161,6307,17194,21199
9801,-1334,-7346,24,10624,8256,1489,-1285,-7649,-1017,12409,26109
17165,394,-17192,-9052,-14320,16709,18831,887,-8507,-563,-6441,15951
24653,-3358,-17254,2241,-11963,8386,25897,4647,-8055,-2246,-10591,-9181
7817,908,-8246,9488,589,7451,13727,569,-5141,-7095,-3453,-25890
-7989,-3342,942,16584,9868,2560,-7613,-14039,7929,-7392,-4331,-27842
-25015,-2670,-1206,5194,-14184,324,-9307,-18615,27471,-1895,-10003,-1036
-23927,-3478,3120,2048,2352,12834,-5681,-6483,2565,9530,20632,16477
7769,-2724,-4766,2564,6144,8192,7439,-9527,-3277,2610,7256,29232
12089,-1846,-11382,1104,4358,16555,15205,-1181,-9735,888,5068,20407
25545,4878,-17078,512,-8910,4180,25941,4995,-7623,-616,-9071,-3851
15945,718,-14262,8916,1538,4096,18603,4655,-5617,-9873,-4675,-20888
-13623,-1198,842,17428,8738,32,1321,-10903,3727,-12910,-902,-29438
-25015,-19854,1034,6162,-20352,-4814,-18897,-19111,7917,-875,-16089,-3686
-14509,-3510,-1200,8449,16532,524,-7211,-1323,1917,7923,18221,18208
8905,-2486,-7564,-13741,8330,4160,359,-807,-4985,-2127,9444,22432
17993,-3508,-12470,-8576,-10240,16400,19085,1189,-11053,-298,-2665,16749
26197,2906,-17078,1072,-8161,8240,26829,2977,-8815,-2715,-5908,-7943
12973,-2174,-6310,8576,3584,4148,14313,-799,-5253,-7707,-5067,-28317
-11207,-3506,334,8200,9492,4101,-13083,-15937,7523,-4160,-4281,-27425
-25015,-3330,11136,191,4361,1104,-17033,-16817,27853,2502,9928,2858
-8551,-366,-420,681,18248,329,-8175,-1797,-3251,3693,17153,19505
7763,-3890,-9142,258,3140,8283,9815,-4429,-6541,846,12378,25829
16033,-1326,-17590,-9216,4352,18465,17755,561,-9229,-1048,3010,17793
29137,-1970,-16598,4096,108,9253,28889,6093,-8659,-3305,-9637,-8715
8843,-3206,-6838,6147,8580,1305,16039,-1801,-6549,-7967,-8679,-29697
-16531,-3480,-694,8192,8192,4352,-10437,-14685,11407,-5984,-2620,-24764
-22733,594,7114,0,3414,1336,-18361,-15107,22175,1496,10380,4360
-7499,-3374,-1198,4736,20498,2667,-6357,-997,-3191,4572,19863,19427
8011,-3180,-8314,-14264,1568,8246,6899,-3901,-6391,-4641,3178,24129
9105,970,-9378,-9980,400,2048,16145,1359,-7971,-1639,-90,14453
7755,-3472,-17070,104,-3801,1232,21823,3869,-7135,-214,-3874,-5750
14489,-1750,-8142,8448,0,1066,13781,1743,-6073,-2819,-9079,-24267
-8491,716,-1138,6661,512,512,1961,-9289,2689,-9503,-7960,-29493
-25015,-1886,-1062,1536,-15356,324,-14977,-17345,11321,1784,-7674,-5910
-16821,-3502,-170,6661,1416,12480,-11563,-4667,1621,6244,13874,14678
8809,-3378,-5088,4,576,4100,3495,-6013,-2977,1799,7180,22902
8439,-2998,-14878,256,40,17014,13407,-2263,-7419,-37,5827,20861
10179,-1202,-11030,272,-10622,18,23683,2371,-8835,-1382,-9560,2894
15979,-1398,-9014,11600,0,1565,17689,2783,-7357,-4522,-7365,-19656
-8623,-3472,1104,6912,4249,4800,2025,-8221,-1011,-9474,-3438,-27720
