712,1353,359,-446,-156,32,2095,-14071,-1252,-376,-7,-25
812,1231,379,-447,-180,64,2145,-14041,-1224,-464,-50,-17
684,1255,327,-507,-256,14,2197,-13991,-1234,-514,-110,32
740,1387,359,-512,-224,76,2205,-13997,-1160,-431,-90,-62
808,1103,419,-477,-192,-69,2179,-14147,-1192,-408,-81,-79
676,1295,469,-500,-214,-115,2201,-14031,-1166,-403,-51,-69
812,1399,337,-952,-160,58,2139,-14169,-1180,-417,-132,-80
838,1359,71,-511,-226,-128,2181,-14093,-1336,-379,-44,-88
868,1167,187,-960,-256,1,2171,-14113,-1110,-446,-128,8
678,1423,239,-958,-384,0,2213,-14073,-1188,-445,-66,2
676,1371,71,-444,-239,36,2273,-14097,-1140,-445,-89,51
936,1179,199,-504,-256,-22,2315,-14061,-1224,-387,-44,-37
678,1355,111,-503,-256,0,2279,-14103,-1182,-378,-66,-97
676,1319,167,-510,-108,0,2241,-13985,-1136,-369,-59,-117
772,1487,399,-510,-64,22,2099,-14065,-1112,-395,-83,-177
838,1427,217,-974,-448,69,1977,-14099,-1210,-448,-348,-194
984,-5497,247,-768,9,64,1795,-13661,-1102,-714,-730,-107
-3354,-5557,-811,-1274,386,156,331,-13445,-746,-1341,-1577,191
-7516,781,455,-4000,288,257,-4891,-15133,-1262,-4053,-2808,4935
-11082,-1001,-697,-10174,164,328,-8537,-17781,-2478,-9297,-1528,12083
-11084,-2809,75,-14335,1488,528,-7681,-18347,-5758,-13205,-1879,15037
-11546,-1463,-787,-16319,16,292,-10929,-17165,-8700,-16031,-6431,15980
-10618,723,335,-16382,2312,130,-9373,-14771,-8120,-15300,-10711,15347
-7468,-3429,71,-11232,1056,796,-4727,-14165,-5402,-11283,-20620,13786
-3392,-5553,-953,-3646,2074,832,-5057,-8297,-6744,-4378,-29432,15234
-6492,-3159,-645,512,256,24,-5653,-11443,-2802,2898,-26751,13641
-2896,3687,-4775,11264,4194,15020,1083,-14107,-3784,11208,-26855,16490
7398,1673,-1845,12441,770,7313,7607,1461,-2096,12950,542,6190
21220,-2833,-881,19460,1069,27728,14377,-5527,1260,17444,3722,26640
7338,-729,-7861,7714,1024,3542,7597,-1545,-7980,7174,2312,4096
10918,-5405,-8213,16522,9092,5151,11463,-5771,-8212,16800,9269,5120
17340,1751,-9081,11362,201,4096,17467,-5599,-6932,9991,2208,3076
13102,-1449,-14967,-3967,259,0,13867,-1649,-14864,-7028,512,1380
12986,6295,-943,-23384,7322,-23904,5043,-5453,36,-20411,7444,-24472
-11306,6859,5199,4132,8256,-32768,-6467,9791,5896,7009,26482,-30172
-26402,-1433,-24403,4165,9376,-8124,-26681,-1637,-20884,2178,9480,-6613
4968,-4973,8391,5129,8513,2476,7593,-3541,8208,256,1552,16
2788,-5561,-5041,161,9225,4705,5821,-8889,-3332,2365,8727,22426
12996,-5367,-9001,10392,8366,8196,13969,-3195,-7326,11841,9899,14258
11044,-5497,-7081,12355,624,1088,10373,3901,-7248,12163,8887,626
4838,2955,-825,-4072,4,-8120,9547,8789,-17410,-4726,12745,-8200
4772,-5561,143,-28604,5148,-23039,1209,6515,-884,-28651,5587,-24023
-17692,79,-801,-4028,1286,-28159,-17913,-25,-820,288,801,-28607
-3384,2697,-9893,-4096,513,-4736,-10773,2435,-8084,-3892,1096,-4087
-3354,-3829,9865,417,4491,1120,-3017,-4475,9784,288,4609,0
9068,-4953,1609,-8116,8704,47,9195,-5741,1248,-8184,8832,344
8800,-5561,-2489,529,5160,12337,5067,-4685,-2866,2192,4576,11776
11428,-5561,-3015,4365,2376,1024,11473,1183,-3526,7501,14828,5011
9386,6731,-373,64,2064,-2015,9717,8705,-7302,10149,7444,-1990
4840,-4521,-14243,-1023,653,-12287,5271,-4237,-16188,-2048,3616,-11344
-596,-5297,-807,1027,1485,-28495,-3109,8785,-972,2458,1552,-31287
-1878,-5549,-13489,-3072,2565,-18370,-2137,-5113,-10226,-4059,1412,-15962
-11354,-441,8433,-8192,8200,2144,-7209,-1669,9364,-7924,643,2185
4780,-9393,1739,2,9778,7180,5033,-9577,1550,384,8208,128
9652,-5369,-2615,8420,8512,3105,10755,-7617,-2984,11134,12219,19172
15044,-5505,-5935,9402,5184,256,15137,3607,-6060,11745,13991,8149
6822,4751,71,32,705,-4960,11787,6935,-5934,-982,10787,-1998
6964,-441,-887,-20350,1472,-19155,6273,-1675,-5872,-19935,4482,-20224
-11608,2697,1239,-3440,4134,-22426,-11345,3959,64,-1427,1,-22004
-11354,-5515,-8089,388,4128,-1008,-9193,635,-7220,1042,4261,34
6824,-2485,5321,459,8460,560,7461,-7403,5642,6470,-1189,13347
6456,-5017,-741,129,1986,5153,6097,-7101,-1788,590,21169,13336
9384,-4713,-4529,4872,4751,1408,12911,-2191,-3640,6554,13290,13137
11012,-3449,-935,3096,5064,4657,12859,6685,-9966,3744,14238,4773
8904,5971,-361,-11712,4113,-2900,14093,6085,-12888,-10710,13572,-3628
14500,703,1183,-32160,5055,-24294,6727,-1249,-930,-32120,5203,-23535
-10074,-4521,6237,-12158,3236,-32111,-10321,-5741,7212,-10176,2819,-31151
-1236,-5255,-31161,-15744,1546,-9116,-10889,3481,-30752,-14271,4097,-4606
-5192,-5305,7271,139,410,8,-4821,-3713,5196,841,275,2048
4900,-5431,-3001,-7976,274,297,7487,-5965,-4396,4316,-12201,14190
5948,-5041,-2665,12546,1540,8889,12167,-6823,-2138,13929,5245,16616
15028,-3863,-4971,8196,0,9370,14919,4445,-4604,9062,12471,9173
13260,2635,-727,6422,71,1,15147,4809,-4172,6457,7631,812
13188,-1461,-935,-14304,8489,-13820,6079,-1589,-436,-15344,9666,-14976
-3164,4699,-943,-15788,80,-24512,-3033,2455,-1076,-15280,40,-22778
-3004,3015,-8073,-8112,8230,336,-781,2845,-11306,-8160,10528,130
-10322,-4785,1671,130,5,1298,-9801,-3693,3612,1040,18,2051
6086,-6185,-409,2116,160,4240,6059,-5509,-1066,66,2054,4122
4836,-13585,-821,593,544,37,2891,-9749,-3670,3873,303,16714
9252,-1441,-4567,5128,65,272,12787,1427,-5076,5310,5387,12614
7358,14951,1903,264,14336,4354,14925,18371,-5212,378,14841,4934
14070,7821,113,136,6569,-7932,15655,-5487,1676,41,33,-7164
4776,8795,-2937,-18304,129,-20352,-6603,6593,-1010,-18170,2848,-21696
-7508,-359,6215,-15128,544,52,-7249,-1165,6100,-15360,647,4
3000,-2997,-16045,-16238,8585,40,3557,-25021,-14944,-14600,7612,5592
-1368,-4405,1805,-6973,11013,1024,1443,-12477,2002,-75,-587,18836
9316,-4503,-433,1736,783,4128,12729,-4103,478,2343,8143,21072
17064,-5529,-853,10368,4612,368,18701,6723,-890,11488,7101,10914
13300,-953,-953,15360,1059,-4087,14529,16371,-2068,13939,-3328,-5352
4988,5719,-14521,-8128,4773,-16320,7591,6535,-1028,-7840,4128,-22223
-3324,2695,-801,-18425,4618,-24538,-3713,1023,2488,-15710,32767,-17801
-828,-2477,-17303,1041,108,-7928,1747,-2325,-17698,2444,-11427,-5258
-5468,-3247,-183,-9664,128,288,-3427,-11499,1460,-9023,8586,1026
4796,-4839,-729,80,736,4678,5953,-5565,-1406,684,5192,14221
6054,-5041,-3127,2336,2050,4291,6457,-5099,-628,2686,2963,14814
12964,-1271,-2737,5315,1396,822,14585,7107,-1624,5182,2099,6261
6092,2631,-441,2594,4176,146,10777,5337,-1332,3563,3300,-504
11076,-4535,-697,-4016,8972,-11263,12447,11699,-4532,-2671,9676,-11337
-2884,5815,-945,-11923,1340,-15924,-961,4367,-786,-10080,14526,-13429
-346,-5257,-4897,-9980,8752,514,1313,-1307,-4538,-530,6997,-5756
-5912,-4499,-761,4288,68,3108,-4941,-11815,-78,4599,757,8361
2852,-5301,-4769,208,0,1664,4637,-5139,-2910,2060,5017,11925
5380,-5537,-3001,652,6672,4226,6969,-5287,-3022,1297,6523,13352
11120,-4217,-4793,2049,514,3076,12693,701,-3206,3237,8846,6623
8362,2715,-817,104,2576,-4095,13199,5867,-4498,3925,7395,-4104
5236,4365,103,-7168,4492,-12154,5165,4597,-1028,-6848,4236,-15289
-3412,-5297,-951,-15796,522,-20479,-2473,-5765,-498,-15359,290,-20478
-1272,-4409,-7025,-5376,800,-9976,-601,-5421,-8242,-5343,50,-9444
-2908,-4615,1671,7240,9232,1289,935,-1163,3092,6658,8210,0
12990,-5529,-905,-10871,11269,6290,12853,-3167,-1572,-673,12012,6362
7146,-3413,-8999,1,4128,584,7693,-3707,-7246,5941,6802,3088
9254,-4777,-8577,-2040,8354,2203,9089,5037,-9182,-2361,15122,-5388
2052,2695,-953,-17917,68,-11740,2063,5693,-13958,-16003,23631,-12081
-16728,839,-953,-12256,4176,-23928,-12087,1109,-4528,-11759,3813,-17901
-19516,2633,-4989,-11261,809,-7572,-18433,-12449,-1912,-9108,-161,-2112
-2612,2663,8351,11,1104,16400,251,-5695,8196,725,-6070,17723
11110,-3481,3417,4296,10376,833,11043,637,3548,4947,16259,15815
10920,-5353,-6835,7434,10400,3328,9195,-5773,-6772,7175,10995,8208
4936,-4257,-9097,5220,9000,3150,8171,2021,-8422,7051,13918,2995
9148,2969,979,4,0,-8064,6715,3971,-1068,416,513,-8191
-1484,3161,-941,-14048,5001,-24144,637,3211,-1156,-10954,14162,-18467
-3390,2759,-801,-7552,5120,-14316,521,3527,-4914,-5589,6929,-13266
-9052,-413,3145,1601,2321,6214,-5945,-7499,4628,3453,-5625,7748
4776,-3497,327,-9181,3619,2052,5479,-3971,134,-658,13152,14511
4068,-5549,-4521,-10722,8250,354,4481,-5835,-5388,526,11311,16735
9402,-5561,-4853,77,9102,10784,10097,-3783,-4058,4391,12920,15068
10916,-3385,-8313,2056,4240,512,12725,1203,-8206,2157,12450,9389
5870,6279,1115,-1912,32,-3295,10427,5347,-6206,-1124,7706,-3209
5030,10829,1095,-13248,7168,-20439,10623,15209,-6464,-14448,8489,-18834
-11452,-5537,71,-8826,4232,-20456,-8689,-779,9054,-7089,12737,-19979
4794,-3505,-945,-1992,4560,-9712,3661,-11949,-9748,-172,-4751,-6678
-1116,-3959,3661,8481,4680,2400,149,-8045,3794,8581,-2404,8285
5802,-3961,-3905,226,8192,5120,6037,-6559,-3640,2219,10808,13322
6344,-2995,-889,8192,5121,1168,9741,-1875,-5886,8397,5428,11973
12966,-4537,-431,2073,2624,100,12807,14283,-10102,1676,12890,1551
8912,6823,89,-6112,0,-14319,10295,10787,-7932,-7046,-1052,-11136
-3292,3791,941,-22460,2202,-23806,-485,2069,5282,-22155,23604,-17720
-2370,-5493,-6577,-3307,4104,-12288,2327,-2045,-8764,-1671,2513,-10096
-3420,-949,5191,2120,2592,9256,-1011,-7563,5490,2442,2872,9327
7212,-4407,-945,1538,8469,4164,8379,-5851,-1054,1347,16968,13969
7338,-3001,-9111,110,9155,3841,7939,-1293,-7830,5057,10521,11715
11940,-1337,-5999,1184,364,2129,12073,9137,-5852,5260,6533,1492
8904,4529,-13241,-8158,36,-8110,10375,7851,-14950,-8324,360,-9538
-794,4679,-249,-27642,4240,-27574,2239,3413,946,-25597,20589,-26191
-10076,-1217,-9073,-2911,7424,-23868,-1571,-2107,-10398,-3700,-1665,-21191
-19796,1671,4575,528,4225,8260,-12675,-13595,6446,1205,-4869,9400
-2892,-5433,329,-6890,8833,1158,397,-5905,2010,-6112,8642,18173
5422,-3511,1623,1549,8448,5384,7857,-4451,372,6190,9988,16022
8876,-2999,-817,2948,5296,4114,10051,-1223,-2646,3915,12863,11826
9958,-2103,-953,2,17,385,9915,1609,-4400,3582,6077,4421
8870,-3413,-697,-3040,4356,-2432,9599,4673,-6350,-755,6847,-2876
-1372,6759,-917,-12032,1028,-15838,4467,9075,-5866,-12446,9593,-11130
-3412,-5561,-921,-11704,98,-19328,-11343,-5485,-1012,-12287,3116,-19384
-1116,-5561,-6581,-4024,2124,-12096,-2105,375,-5136,-4080,400,-7808
-3252,-1399,5209,1161,3625,72,-2711,-1645,4172,1316,4176,416
5798,-3513,-881,580,8846,256,6063,-3447,-2096,546,8196,4
9072,-4393,-5033,1314,8736,6984,10189,-5645,-5170,1282,8195,6422
10412,-4405,-921,2580,1959,898,9639,-4419,-980,2922,2056,576
13096,-3497,213,-6110,1031,-10106,12969,5929,-5394,-6661,-1698,-11681
-3256,4747,977,525,8,-24576,-3161,3723,-532,2,680,-23647
-1030,647,-933,-2171,2593,-22200,-985,-1541,-1066,7,417,-16380
-8268,4299,7277,4352,1292,9216,-11041,2435,6348,4104,1293,9813
5540,-4019,4311,49,84,33,5095,-5757,3120,17,2320,1048
7334,-5561,-3893,320,8266,432,7129,-5753,-3976,8512,8205,520
12016,-4217,-7065,2464,10690,1105,11479,-3467,-7594,2114,10259,4
9776,-5177,-8073,-8180,0,64,11225,-5601,-9012,-8120,3081,1152
9492,583,-799,-22208,81,-16256,9585,8411,-8144,-22055,17812,-14704
-7754,4295,-161,-8126,2060,-24575,-4517,4603,2680,-6747,7875,-24320
-1812,8025,-631,-10240,4,-15346,-10727,10625,-816,-11262,2563,-11751
-3278,7755,-393,5120,4100,8280,-2519,-5765,-788,4244,48,12682
5458,-5425,-663,-8144,8449,288,5099,-5731,206,-7960,12,448
4908,-5545,-791,8218,2051,2085,6621,-7509,-1354,9531,3558,14570
4794,-5561,-7097,11284,5226,1408,12841,-5755,-6708,11440,5698,1092
