265,332,35,-494,-114,0,-453,-75,17,-496,-128,23
201,348,-147,-888,-178,-34,-463,-75,145,-893,-128,-29
135,308,-151,-896,-112,0,-575,-55,139,-890,-62,-22
7,308,-45,-1004,3,49,-655,101,161,-996,41,0
-37,372,-157,-893,2,0,-685,63,57,-891,0,32
71,348,-93,148,-235,-121,-433,-91,55,-800,-223,-128
77,310,-3,-992,-240,-104,-591,37,9,-998,-248,-115
9,318,-125,-952,-378,9,-527,-91,113,-953,-383,0
1991,330,-147,-500,-224,4,-559,-11,15,-494,-250,2
2027,334,-157,-431,-229,68,1425,-83,-209,-493,-244,71
2023,340,-157,-503,-224,4,1329,5,11,-512,-254,162
1991,308,-153,-442,-47,37,-427,-15,-83,-441,6,2
103,-188,-157,-458,161,40,-591,-535,25,-503,128,3
-161,184,-93,-399,544,21,-879,-599,41,-416,528,128
1735,-58,133,-1492,256,1724,817,-475,265,-1510,2060,1665
-1401,-132,1155,-1856,1792,4278,-2223,-219,1309,-2048,1601,4320
-2101,-156,1133,-2767,130,8292,-2759,-291,1317,-2752,64,8320
-10289,166,1895,-7072,2112,8484,-10701,-73,1835,-7092,264,8772
-9881,-160,-149,-11758,4170,4672,-10957,-1507,-167,-12288,773,6376
-10247,-2124,-397,-10240,580,4112,-9421,-1663,-203,-10236,641,2696
-8249,-3616,4195,896,4224,8398,-9935,-5211,1801,1079,4246,7668
-6057,-3148,-397,-7165,3272,35,-6827,-4615,529,-6840,3329,416
-7649,-5826,2019,3,8,5248,-6471,-4443,41,1536,1586,8869
-1977,-6308,-157,266,-12767,16704,-1223,-4187,2379,544,-16124,3076
1991,-4140,3813,4360,-12030,150,1587,-4441,4107,5178,-11774,770
3033,-4260,1637,8353,-7648,2592,3299,-8697,2517,14877,-4981,2442
4047,-4936,553,12337,160,-14427,3811,-7349,-297,12255,-191,-3896
6663,-5658,4491,548,2191,-7168,3157,-4633,-527,6701,-2218,-3468
6241,-5706,3829,3604,66,32,2241,-5579,-1899,3586,-7874,-7589
6969,-3980,5765,5,4240,4116,1135,-7035,-2111,1569,-11059,-10924
487,-6092,8301,4361,545,1722,-713,-3599,8537,1600,609,86
-5945,-3252,8963,240,528,4972,-6823,-4683,9097,39,0,6288
-10157,-5568,-413,-21743,4192,16993,-8399,-6229,337,-21968,4096,17152
-10295,-7326,-393,-27054,4,17408,-26479,-8793,-247,-28602,1632,41
-14345,-9356,771,-15792,1026,2048,-16651,-8795,-147,-15584,284,816
-12029,-10918,-399,-16355,3088,260,-27175,-12891,-203,-12799,3104,4640
-7225,-12610,9445,-10174,400,5312,-9295,-10959,8813,-10142,528,6344
-10249,-5644,5275,17,578,32,-10677,-6659,-159,272,192,386
-969,-6316,-373,788,-8182,14343,-2127,-9213,105,548,-7791,13825
-2039,-10268,3683,1,2196,1474,-2231,-8597,5911,4096,305,1112
-953,-10442,5475,6784,-8060,129,-931,-10815,3889,6442,-8110,132
-825,-11836,3819,1537,-7638,18,-2253,-14939,4397,625,-7932,517
3567,-14474,5003,129,3632,-5592,2641,-14931,6393,41,1288,136
6695,-10056,1125,3072,8233,-3943,5521,-10707,267,3332,10272,-2000
2039,-7512,1675,2113,9217,-5886,1465,-6743,2077,2082,8292,-5887
239,-5672,4915,84,6912,-7616,-295,-6177,5273,43,6672,-7408
967,-5982,4451,148,1298,66,-1703,-6713,3855,8288,2058,784
-761,-6090,3723,8198,577,4704,-2759,-6731,5289,8264,256,4224
-1831,-6120,3789,10772,256,280,-2575,-6691,3849,10340,4,2
-8729,-5234,7971,3138,768,2304,-9615,-5495,8461,3362,2048,2158
-10169,-5818,3821,2322,276,2368,-10887,-5589,13,1281,2,2656
-10247,-11394,6891,-11212,2434,646,-10927,-12863,8013,-10960,2568,0
-10151,-13516,9829,-6848,128,-2919,-9519,-13111,9273,-6979,76,-2920
-1719,-8012,6249,3,129,68,-10429,-7255,6561,224,305,16
-3879,-6020,1033,40,4228,1537,-4687,-6735,1177,410,133,1050
-7737,-6074,-407,5136,2056,1792,-10275,-6683,537,4738,2835,8922
-10165,-6348,5787,40,-2736,12416,-8359,-10669,-2551,4285,-608,13120
-6041,-5324,1635,768,-3440,17472,-5713,-9573,-1995,504,-158,17468
-953,-5982,-389,-12147,-9718,13385,-1725,-6613,267,-12142,-9920,13858
-179,-8396,-399,-4606,-14326,1098,-1219,-9103,205,-7904,-15232,1440
1035,-9576,-103,516,-10240,36,5491,-6487,-247,256,-9472,128
6651,-5706,2163,32,10564,4480,5849,-6747,2345,80,11520,4480
-4057,-12456,619,592,40,4640,-4645,-13945,-231,512,1024,4755
-6969,-12300,1733,3976,2376,416,-7367,-12859,-243,4304,2066,320
-2041,-10444,275,4184,159,164,-1701,-10699,921,4097,0,2
-1927,-14538,-285,9369,4776,-7936,-2223,-13633,47,8194,4928,-9178
-2105,-10316,1635,10520,4416,-12215,-2767,-10715,2327,10288,4170,-12111
-5937,-10380,5987,648,1410,-16352,-8395,-6727,-175,1304,1504,-15295
-10297,-6330,7789,4096,3076,-23487,-10319,-5689,2069,6272,3607,-23512
-20531,-5764,2727,7265,2384,-15229,-22981,-4699,2057,7860,2106,-15294
-19375,-6156,747,4549,-5967,80,-20939,-6601,881,4677,-7592,16
-10233,-6304,3307,2704,-8160,56,-10893,-7125,2891,2064,-7672,1044
-8951,-6320,2219,2562,-3318,4658,-9927,-5335,1801,2172,-4058,4673
-2041,-3532,2021,7321,-6071,512,-2103,-6923,2165,7472,-1230,7246
-1931,-4300,611,5220,-5789,10498,-2029,-7325,725,4998,-2047,11551
7,-5320,2211,5,-8190,10514,-73,-7199,439,2395,-4185,10514
1991,-7860,1767,3660,-8127,580,1961,-7201,2609,3793,-2114,11551
2503,-5178,-263,400,-8183,10,2431,-4747,2285,2242,-606,8517
-1065,-6316,231,8,1026,229,-1483,-5721,-247,13,1024,14
713,-6200,-401,-1535,2338,44,-523,-6523,-217,-2048,2162,40
597,-4264,-277,-3840,4121,2317,-63,-4577,-247,-4056,4368,2210
2247,-4746,643,-7536,5137,1170,1465,-4951,45,-7612,4165,280
1327,-9724,619,-7900,224,16,579,-10075,339,-7921,23,146
231,-9160,131,-8128,17,8192,-197,-9795,-237,-7922,0,8240
1993,-9408,687,-10229,8,9675,1601,-10587,805,-10967,276,9552
3161,-13388,-369,776,48,87,-2219,-5723,-209,112,97,675
-10029,-5122,227,1284,4192,4480,-21579,-5237,1233,1344,4225,5377
-26169,-6342,2755,-6124,308,2305,-25291,-10267,3147,-6138,662,352
-10285,-12604,1507,256,-1718,1603,-8847,-12363,1311,536,-1792,1100
-9243,-10316,723,5549,1572,4904,-9933,-10715,905,5640,1032,4624
-8695,-9320,5997,8,2064,1309,-10431,-10841,7055,10,2048,1284
-5529,-8268,3699,1536,0,3075,-6063,-6731,3977,1808,222,2376
-1977,-5772,4739,0,-6089,2064,-1281,-6707,4877,2832,-5372,2069
795,-6348,3949,16,16,-10112,1403,-6211,3915,10,216,-9727
3027,-5446,3555,40,-3570,-11212,2479,-5723,-23,40,-4088,-11005
6153,-5324,523,6817,2177,-6144,5453,-5195,-207,6784,2560,-6072
6761,-6216,371,59,9254,-8191,5457,-6355,-117,260,9254,-7893
-2063,-5792,-411,7312,25,3149,-2639,-6651,-247,7472,34,3296
-1997,-5260,-273,4102,3328,6433,-2637,-5303,9017,1588,3072,6400
-2101,-5836,-369,1536,3728,8196,-2645,-5977,-167,1281,3713,8210
-2095,-5564,779,512,12,8880,-2639,-5803,941,1,-45,9228
-9237,-6236,783,-11120,2400,10377,-9867,-6313,913,-11734,2049,8262
-4025,-6092,275,-14318,16,12570,-5551,-6747,1945,-13934,0,12592
-6005,-5286,523,-15615,1,768,-6531,-5675,-215,-15866,98,1280
-9141,-5626,-413,-16381,4898,4888,-10951,-6619,2057,-15767,4608,5161
-9527,-10140,645,-15915,0,12376,-10191,-10819,337,-15867,12,12580
-8473,-8488,683,-14138,-10919,6276,-9999,-14251,-159,-13312,-15101,17537
-5099,-10412,6543,110,8,5376,-5583,-10827,6445,780,84,5121
-7737,-10276,4835,845,1860,2082,-2687,-13393,5257,1617,88,4135
-2097,-8390,4751,2337,2056,514,-2221,-6687,5257,2107,1041,138
2467,-6252,6387,0,1088,32,1585,-6743,6669,175,1076,232
8135,-6022,7845,8,274,1099,6841,-6491,6323,3072,1283,0
4159,-7164,4903,1048,32,-7984,3521,-7429,5413,11554,-26,-5240
3079,-5708,-93,781,8362,-6892,1753,-6699,-119,480,8428,-6060
327,-6236,-155,1056,176,-5856,-703,-6683,19,1308,1636,-5728
175,-5050,-21,608,5248,544,-671,-5559,-101,517,6280,1024
-697,-6330,10131,5196,580,0,-1479,-6745,10029,5380,50,256
-2039,-4796,-387,2400,182,1568,-2597,-5203,-231,2253,391,1374
-549,-5324,-413,-6047,466,1026,-1711,-5657,-239,-5980,512,1568
-1909,-6212,-401,-13808,1088,8192,-2767,-5403,9545,-14318,1609,8353
-10145,-6220,-93,-15760,4132,11049,-10943,-6467,353,-16220,4611,8192
-10097,372,7843,-16224,8512,11680,-10831,-2651,10017,-14336,9520,12033
-24521,-3276,-347,-24272,1120,9743,-25355,-5207,473,-24408,264,1536
-9585,-8396,99,-14560,-8640,8067,-10949,-8691,65,-16316,-8624,7732
-10081,-6266,-365,-10174,-6637,8376,-8357,-6745,-159,-8192,-8170,9218
5095,-5722,-389,-3999,2977,4205,4475,-6145,-237,-3756,132,4322
7179,-6324,-153,4480,-8080,2064,6507,-10629,-609,-8252,-7533,12539
5703,-6344,651,1,528,168,4883,-8473,3,-7900,-1070,-863
2027,-9228,1639,8324,773,538,5013,-10003,4573,-3572,3866,-10519
-5945,-14404,5735,1024,11264,8209,2231,-10413,6303,1209,11610,-17437
-21545,-30400,3845,2048,1024,-6142,-14851,-21593,4105,768,1344,1424
-16145,-7364,10739,4386,672,-28125,-16079,-7259,8457,4098,72,-28528
-25471,-5146,487,274,-1823,1033,-16569,-4463,839,10204,-3810,5413
-6169,-6116,675,12289,528,328,-5615,-4539,-47,12898,-1152,19
-7417,-5752,5859,8274,-14697,160,-7373,-5707,5537,4808,-14792,3105
