-265,-214,-193,-495,-182,12,-141,-898,-173,-478,-192,8
-311,-382,31,-928,-250,12,-245,-1000,67,-948,-256,68
-337,-370,73,-464,-219,24,-229,-992,95,-480,-220,12
-303,-348,-177,-472,-192,4,919,-866,75,-474,-224,8
-281,-358,127,-510,-256,-30,-183,-880,3,-508,-255,-15
825,-382,71,-504,-124,-28,-181,-980,75,-480,-208,2
813,-222,-193,-496,-160,0,-201,-1016,-129,-472,-190,8
-221,-380,-157,-452,-175,0,-131,-1028,99,-455,-180,0
-345,-208,-65,-423,-224,0,-217,-900,-123,-447,-248,4
-407,-126,-63,-512,-464,256,-297,-644,-189,-507,-471,256
-729,-378,-193,-1024,-951,517,-623,-984,-125,-671,-912,546
-1081,390,-189,-1916,-736,1184,4341,-8282,2817,-1207,-297,1240
-6353,164,-153,-4064,1336,2053,1823,-7720,3783,-3183,-2381,2921
-21715,3740,5185,776,385,8454,-3265,-12492,5857,-5509,-1885,9391
-9409,-254,4525,35,32,512,-409,-13414,4263,-5270,9791,15139
-2265,6530,-6817,4265,8225,13612,-1813,6170,-7343,4099,8193,66
-6869,3746,-7869,8756,20,2592,-5741,-328,-7355,3136,900,2200
493,-8414,-8317,2657,9218,18474,551,-8432,-7349,4097,8384,18704
-1161,900,-4241,8590,2104,18049,-1145,1212,-3259,9216,2762,17570
3393,730,-8369,65,4904,16400,3509,-2716,-3411,2027,-713,19197
12251,130,-4287,7192,12467,1328,6347,-262,-2291,-534,-2203,11793
11101,4188,-8381,2331,3290,5788,12455,3580,-8341,2264,0,384
10031,1674,-7615,258,1074,128,9873,280,-7209,546,1152,11568
-5337,-378,63,-11214,2055,32,-8809,136,1873,-11696,2132,288
-17289,3798,-16497,4229,-10750,2064,-17621,-6112,-13287,-342,-5739,-15664
-17621,-3324,9025,653,72,5,-17273,-3688,8005,136,516,658
-9101,146,273,28,4256,4105,-8561,-934,-149,784,5262,4228
10031,-114,-3361,6,2246,962,10133,-728,-3197,357,2768,1280
15143,1698,-6209,133,3680,4097,15783,1016,-8245,7,3460,3258
15527,1666,-6305,532,8,264,15239,1016,-6267,776,2240,73
15193,-382,-8101,-2429,412,13092,15529,248,-7989,-3068,520,9984
-13401,-4728,-13377,585,19789,1284,-21605,-9016,-109,520,22720,1624
-25817,324,6487,2405,290,4229,-25721,1272,-189,388,2528,192
-24745,-252,63,0,-9726,17480,-9257,-3720,-153,10,-10215,20560
9015,130,-2239,-4095,-4064,16656,9735,56,-3441,-3792,1058,144
7511,2178,-4289,4096,36,32,7623,1274,-8125,3090,512,2048
