761,-12,173,-486,-176,0,1741,-8012,484,-420,-23,13
835,-22,205,-462,-256,0,1789,-7978,402,-385,-34,-36
569,-20,145,-510,-240,16,1725,-7992,348,-412,-45,-27
543,-20,243,-512,-183,11,1741,-8008,410,-383,-34,-43
801,-14,153,-493,-255,38,1797,-7992,382,-423,-106,-31
-1377,110,197,-1916,-1017,524,-467,-8150,660,-1712,-1030,749
-5345,1002,909,-4032,1136,3622,-2763,-6598,1138,-2143,-2270,4011
-13337,-520,173,-3921,2504,24,-10167,-8808,2606,-1712,-1012,13758
-9591,-22,1173,70,666,2763,-6681,-7696,2042,2379,-3457,23474
-7609,1194,173,1164,4768,269,-2423,-6852,356,3588,-3413,25868
-421,3116,1297,512,4386,2304,-717,-10064,-1232,6072,-4214,26050
607,-726,-851,1048,1666,1207,1293,-672,-6542,509,-7759,20820
1803,1546,485,-8119,5,1026,7329,554,-4966,-3727,-8594,23849
7191,6162,269,-8128,169,1421,10059,110,-3292,-2606,-8600,17914
9807,3314,-865,-8190,1041,416,10181,4662,-2888,-7702,-4615,11852
9087,3310,-739,-15296,1221,38,9751,2750,-3082,-10769,6032,4080
6851,812,-743,-22519,2049,1799,6531,-94,-5860,-18771,19869,-2209
735,3194,-6451,-22488,1025,1601,5535,-4800,-6204,-22435,17699,-10459
1887,3340,-8041,-29686,333,1572,1617,-14218,-8390,-23504,18940,-13462
-6401,4110,-5875,-28798,4288,3746,-6669,-20850,-5516,-23680,21424,-13277
-16799,-790,-851,-12799,218,2368,-10733,-15402,2418,-4861,-209,-3443
-9017,1114,-883,16504,64,1282,-10825,-14322,12712,18911,18775,6806
-24865,7178,-627,8195,19,1286,-20847,-8552,6240,9057,22839,17618
-9151,7178,-595,5153,384,3136,-5977,-10776,-804,10200,-8243,25298
-1467,2026,2061,4736,2060,1169,6581,-5958,-994,5957,-4128,24678
601,-1046,1445,81,-15872,132,7791,1682,-4310,-2788,-13171,27730
9059,-1004,525,-9437,-19658,14908,14059,-1124,-4348,-8110,-15420,14576
10783,3050,-847,-10693,512,2,12325,4022,-4294,-11696,-2470,2834
14987,-1038,-7539,-22832,9360,-6144,15397,-1190,-7810,-21391,11098,-6569
9177,-16,-363,10,27144,-20411,9519,-7358,-10624,-27699,27155,-19279
-9559,-530,-31,129,685,-19455,-11563,-24470,-7798,-26218,32767,-18158
-26081,3722,-881,101,288,4416,-26123,-15732,6904,5203,7795,5328
-7437,6922,141,3080,1040,5649,-4015,-8504,5906,16712,16739,7090
-9535,2618,-883,520,13328,7316,-6745,-6102,-3700,10775,12307,9571
-9677,1034,-879,4240,-22016,0,-3097,-4398,-704,10691,-14506,-686
673,3858,1167,135,-6813,1825,2341,-4176,-1494,2395,-5268,-3314
-1415,3114,-243,2560,-8186,526,2949,-4322,-1622,-1514,-3687,-6948
545,-532,-2643,1092,-3930,-11756,941,-6104,-2082,1484,-3533,-11809
-1185,506,-879,770,-5869,-15352,-1501,-7350,-340,2777,-975,-14928
-477,-884,-1267,2180,128,-15839,-257,-7142,-596,3655,5092,-14532
-1237,236,-1371,3076,8268,-12091,-633,-8094,-1048,3039,9418,-11387
-1145,-950,-2131,1720,8966,-7662,-527,-8258,-2210,1620,13160,-7234
-1269,-918,-1903,2573,6016,-4092,229,-8496,-1762,2735,14231,-3080
-1373,-1030,-2895,4482,9256,-3036,611,-8954,-2644,4486,13894,-676
-8259,-998,-881,1664,12483,323,65,-11036,-1088,6531,13696,1160
-9687,-522,-801,64,1050,1281,915,-8354,-1240,9997,13325,2048
-15799,-1018,-2867,129,172,12,1189,-8442,-2100,8390,13306,2040
-7393,1002,-4975,8306,3076,1544,831,-6484,-2464,8937,11681,1539
-1473,-404,-4957,4928,17,1026,675,-6224,-1892,6861,11666,1025
-1501,2570,-4915,6479,7488,-25968,659,-5494,-2484,6572,7809,-177
7071,-908,-2915,4100,129,-20406,873,-5960,-1652,5091,5497,-1214
6703,-6598,-4827,545,169,2636,849,-5650,-2250,4517,4787,-1443
7219,-454,-2855,1,824,6912,1273,-6690,-1514,4230,4005,-1243
9253,176,1421,384,4120,11018,2111,-6680,-324,4294,5770,65
7487,-22,-875,40,2,66,2429,-8186,220,4363,6091,148
-9135,1018,-345,932,96,609,1039,-9636,24,7276,8894,593
-26081,19562,4885,6209,515,17417,-2343,-10500,-1186,6633,8441,-367
-24617,-8084,-875,584,528,-15016,-115,-7484,-140,4542,4780,-186
-17119,-526,-623,321,1554,24,1135,-5772,862,851,5964,-21
-477,7466,-239,-2416,2453,-32768,1053,-6320,-480,-2069,4166,-2391
7967,7178,-627,-5888,-8186,-22324,-179,-7942,-1944,93,-5402,-1985
8751,-7446,-2539,1608,2,26,497,-7408,-1384,-2710,-1320,299
9039,-8722,-1843,208,-7104,512,1667,-6908,-1218,-3863,-4507,306
10791,-8466,-275,1671,12,8460,3781,-7732,-844,-2354,-5035,-1127
8227,-8596,-587,-1975,-1792,23040,4431,-6976,388,-1306,-1510,-1375
3151,-1042,527,1296,136,31460,3051,-8564,608,1611,4879,-1229
-25791,15850,909,1348,2368,28672,711,-8672,-958,1851,3833,-2101
-8061,3130,6345,106,36,2740,293,-10374,-1486,-80,682,-1003
-15713,3340,-159,800,129,36,1763,-8836,270,1883,2863,667
-9167,-274,659,1632,4098,1124,2009,-8334,1052,1527,6633,1274
-993,46,-879,-4086,121,66,2037,-7740,656,-603,3846,1043
31,490,-611,-8186,64,8,85,-8070,-1242,-2538,-3965,122
-473,-978,-2931,-7661,-5114,-1919,-633,-8378,-2172,-1160,-5190,-1613
-393,522,-2153,-8124,-5872,4384,-383,-7376,-1966,-4114,-6061,-33
-971,-1046,-815,-7037,6,1024,75,-7160,-720,-7104,-8028,1051
-1185,-818,-883,-8156,-10232,144,1419,-7834,-830,-7705,-8571,2244
-1439,-1030,-3691,-12223,-10552,2048,-1145,-6628,-3634,-8709,-10657,3860
-1341,1132,-603,-8092,768,6156,-1407,-6504,-3978,-7934,-11340,6545
-4513,1034,-625,-10236,4134,8832,-3277,-6694,-4744,-9429,-12390,9205
-8673,314,-4913,-16127,46,4352,-4433,-5924,-4454,-11200,-11983,14924
-8893,-382,-787,-16208,8594,932,-7963,-9176,-476,-9955,-6374,18443
-9689,10,1469,-7564,10680,2060,-9251,-8030,1110,-6616,-4385,23701
-8631,186,-2409,-6016,8202,156,-4307,-7316,-2522,-1432,-7007,29022
-801,3050,-4571,-5879,4104,546,3433,-3170,-4214,-1701,-9995,30326
1091,618,-4179,-7162,3620,544,6683,570,-4236,-789,-13098,28486
9121,-774,-6481,-3582,434,896,10369,2046,-4502,-1484,-8770,20737
9767,122,-4685,-4063,1476,35,9959,2820,-4840,-4479,8845,11827
6979,30,-851,-16380,41,1636,8927,610,-5498,-10966,20730,1231
7707,3832,-6475,-16224,8708,770,7395,-4104,-5410,-14889,26225,-9923
2639,-1030,-355,-19344,4165,-16128,5609,-7924,-6712,-15838,21608,-16575
-17761,-934,1269,-16342,9220,389,-17987,-20572,-898,-14910,25360,-18194
-24657,10474,1581,3,8338,152,-20081,-16268,11670,2566,10251,-4679
-24479,3626,-755,28672,128,11,-23713,-3822,8726,26326,20588,5009
-23777,4108,1301,897,58,14852,-21239,-2532,3744,5982,-2032,13502
-9039,3894,-671,8710,-21754,27904,-12289,9858,2612,6641,-12328,24659
7711,-886,-273,1,1538,208,7287,-114,-3290,-1244,-2547,22308
10861,-410,-803,-8061,5120,26,12015,1230,-3314,-8758,-8448,15014
7583,-582,-883,-7364,-8192,4820,13401,756,-2288,-7042,-5773,6011
10911,46,-339,272,-4351,-2880,13177,914,-3300,-13392,-258,-561
11311,4090,-867,1040,-4080,-11840,14107,-2322,-7252,-18817,-3535,-10584
