609,86,31,-469,-131,32,1445,-15116,-2161,-420,-122,-58
585,42,-31,-504,-144,48,1407,-15120,-2145,-416,-40,-14
623,24,19,-490,-154,39,1355,-14976,-2223,-400,-2,22
569,68,-23,-477,-264,-12,1459,-15168,-2235,-403,-29,21
633,80,-41,-453,-294,31,1443,-15086,-2175,-371,-34,32
685,66,-47,-456,-278,52,1419,-15100,-2191,-388,-32,38
557,140,-25,-439,-299,10,1451,-15078,-2273,-399,-79,19
689,56,-105,-445,-227,47,1469,-15078,-2221,-428,-97,-11
641,114,-7,-446,-199,48,1483,-15142,-2143,-409,-104,-35
695,90,15,-474,-171,51,1411,-15142,-2205,-420,-89,-11
617,70,-61,-439,-155,58,1415,-15128,-2227,-410,-113,-16
613,100,51,-451,-145,53,1371,-15078,-2175,-405,-188,-42
685,100,-31,-461,-201,40,1423,-15124,-2231,-429,-180,-32
663,144,-67,-438,-174,49,1485,-15168,-2151,-421,-214,-45
623,234,137,-392,-375,-16,1479,-15174,-2257,-439,-164,-67
931,506,99,-419,-724,71,1165,-14840,-2507,-537,36,-118
1711,574,437,-603,-1132,525,667,-14648,-2931,-1076,-704,-36
1805,818,391,-1615,569,1046,991,-15540,-2685,-1422,-596,-25
1685,-484,87,-1770,1445,1783,611,-15170,-2419,-1188,-1266,185
1837,360,1079,-1539,2164,1561,965,-15546,-2739,-216,-2059,-575
1995,566,1501,-2167,1811,1049,899,-15132,-2919,305,-1582,-1080
1719,12,819,-2491,3941,776,787,-14946,-3229,321,-1727,-1010
1105,-308,299,-1872,4919,409,1161,-14792,-3351,227,-1619,-1170
491,-728,135,-722,4429,-400,1053,-14898,-3267,85,-137,-1419
325,-466,1921,670,694,-1186,659,-14966,-3359,-150,927,-1100
1801,42,1589,723,-3533,-1164,489,-14978,-3449,-122,1447,-787
2119,1816,847,1104,-2705,-605,1035,-16112,-3765,-177,1704,-316
1459,2272,-21,-27,-1691,79,1103,-15364,-3599,-271,2078,864
543,684,-1927,579,1221,1284,1053,-15246,-2911,1323,-6010,25
-577,400,-1983,-241,2660,1668,7795,-15268,2069,3021,-9779,-1927
-203,-388,-2193,-935,-434,1768,4397,-14772,-93,904,3141,1182
-93,-386,-1967,390,-704,1096,2919,-14522,-2623,-1029,5527,2694
-289,-306,-1703,726,59,-402,2791,-14566,-2305,-15,1498,336
149,-712,-1791,215,528,235,3275,-13900,-1283,-369,89,-720
-29,-334,-1463,-43,1426,231,2213,-14400,-1003,-2731,1490,366
-629,332,-677,-513,2001,-822,1563,-15364,-1457,-1886,-681,-680
-361,536,-1465,-757,12,-1087,2825,-15582,-1513,-477,-1752,-1023
329,836,-1951,659,-1831,-842,2985,-15420,-1731,-170,134,-606
893,98,-1929,1652,-1743,-584,3151,-14478,-1727,198,695,-861
389,174,-2103,2591,-2672,-755,4229,-14070,-1177,474,-501,-2244
793,734,-1409,2054,-6042,-231,3651,-14198,-1373,-1391,4514,-1418
1391,666,-1155,-20,-4547,951,2513,-14670,-1869,-1489,4424,-1152
149,194,-1723,-495,-1526,1633,1955,-14676,-1335,-1177,2802,-380
-49,-58,-1645,-39,-1454,413,2321,-14890,-659,-370,1357,121
433,-92,-2081,-104,-1686,-684,2889,-14658,-963,577,-1846,183
297,144,-1947,-705,-1149,66,3379,-14116,-1443,739,-3727,164
299,180,-2261,-1188,-705,1095,4187,-13600,-1007,143,-2502,431
277,598,-2165,-879,-559,564,5489,-14140,-327,-403,-310,518
229,1018,-2165,-598,-367,-415,4589,-14762,-1339,-1637,3630,982
623,518,-1909,-444,-493,-1035,3339,-14962,-1509,-2758,6185,1894
751,2154,-585,-251,-919,-1198,1165,-15988,-3533,-3466,9380,1653
2049,1386,2213,-978,-307,477,729,-16352,-3607,-1435,5473,-123
3455,214,3461,-3236,1773,1004,217,-14956,-3907,-184,1051,-180
2403,808,1089,-3863,3501,-25,591,-14232,-3735,-649,-366,-115
1985,454,-919,-3494,3995,-883,265,-14312,-3457,-1372,-1607,-535
1787,94,-1291,-493,2722,-736,541,-14746,-3235,-1110,-3005,-605
1181,-480,-919,773,-1205,-904,677,-14612,-2967,-484,-3215,-608
415,-900,565,2331,-2609,-719,901,-14568,-2335,-498,-2984,89
861,-228,2065,1648,-3129,-1390,1393,-14752,-1999,-1753,902,2093
1387,3256,-245,-618,-4766,-2480,2949,-17272,-2297,-2857,4477,3964
1977,728,-351,-1049,-2805,477,1441,-16282,-3483,-71,-1792,452
2711,-148,1367,-1533,-2667,3888,1279,-14710,-2847,747,-6059,-1010
3457,422,1363,-3385,260,4103,1629,-14324,-2503,297,-2959,-447
1367,110,-273,-2024,2669,2497,1181,-14550,-3381,-290,674,-518
1145,-118,-133,-1119,3574,1425,827,-15380,-3919,-438,1786,-1100
823,-414,641,-1704,4838,482,587,-15162,-3425,-724,1558,-922
1363,-176,1769,-1201,2841,-46,183,-15108,-3353,-437,-1133,-474
1855,80,1231,-981,569,-285,991,-15308,-3005,683,-3064,-977
3013,-174,1841,-381,1356,52,1053,-15024,-3277,1346,-2150,-1424
2157,60,1447,-434,-517,249,1079,-15060,-3505,1248,-1495,-1032
1507,2058,1771,637,-142,-615,1491,-15776,-3861,423,-280,47
47,1978,-99,-482,1591,-295,1439,-15734,-3741,288,-608,296
37,-296,-1023,-15,566,-259,2371,-14320,-1617,1862,-4317,-540
1047,-744,-1749,-43,-1646,-505,4355,-14372,-623,2440,-8617,-1924
379,850,-2221,238,-2543,-1061,6129,-15402,61,1541,-4100,-676
345,126,-2141,512,-398,466,4159,-15524,-1179,656,5211,1676
-21,88,-1833,1253,715,1721,2659,-14904,-2353,-173,3766,2829
181,-806,-1381,1697,30,448,2793,-13284,-2213,1218,-2662,520
693,-250,-993,1015,-1125,-915,3013,-13280,-1977,263,-2982,-382
-19,598,-551,-535,510,-700,3489,-14166,-1163,-1361,-542,-361
23,232,-1005,-564,1124,-688,2877,-14912,-561,-2745,4181,641
595,684,-1129,-212,-219,-1406,2247,-15334,-833,-1736,2461,471
857,790,-1533,113,-1773,-1692,2383,-15554,-1459,195,-1512,-1034
1127,454,-1763,-122,-1827,-545,2303,-14824,-1877,503,-1925,-1142
941,344,-1653,508,-896,651,2621,-14790,-1813,-195,-1194,-405
277,88,-1221,933,-619,1100,4103,-14168,-1231,511,-1885,-1728
5,144,-1349,595,-1901,684,3777,-14500,-1135,-1069,2745,-598
345,486,-1419,140,-3038,439,3161,-14920,-1479,-2500,5810,588
757,494,-1409,-425,-2307,422,2415,-14758,-941,-943,3761,-661
813,166,-1605,-684,-848,391,1943,-14658,-433,-1040,1936,-50
591,-138,-1713,-1014,-92,375,2103,-14578,-1353,585,-3554,-991
461,116,-1911,-1261,-39,496,3589,-14122,-1251,1425,-6200,-858
393,174,-1935,-1265,578,551,4967,-13874,-1097,869,-3478,510
283,1204,-1847,-1363,1325,174,5679,-14624,-1311,48,-554,1007
627,-416,-1611,-1993,2130,396,4213,-13966,-1763,-1158,4004,1116
247,1628,-1197,-883,1759,468,5501,-15786,-993,-5535,11597,3191
31,886,-37,-1099,361,390,589,-16160,-3399,-6320,15923,3264
1973,2190,4807,745,431,-132,-249,-16278,-4345,-2876,7973,889
1773,622,2793,-3487,2010,-1292,-423,-15160,-4675,705,273,-1289
1653,960,133,-3598,2597,-2386,5,-13946,-3311,-651,-1631,-1889
2405,-18,-529,-1553,2023,-1273,-81,-14416,-2935,-2192,-334,-1329
2199,-724,-185,-143,-1447,-539,-359,-15116,-3157,-1878,-1594,-493
1055,-938,57,1480,-2075,-131,67,-15378,-3339,188,-3962,-188
531,-686,139,2694,-3376,-280,1183,-15290,-2493,790,-4146,1000
855,-454,47,2682,-3902,-856,1985,-15042,-1921,39,-499,2913
765,1902,875,1900,-3165,-1041,3583,-15920,-3043,-1,-1767,2992
1357,1512,-5,-356,-2079,-236,2637,-15454,-3167,86,-2549,-121
2011,524,921,-1308,-1628,1924,2047,-14516,-2545,-500,-1535,-2402
4563,1162,2397,-3558,292,2564,1103,-14786,-2857,-1694,474,-2107
1675,400,-385,-3158,4221,2769,241,-15434,-3369,-852,43,-2450
1153,14,-661,-2250,4239,1806,695,-15806,-3225,407,-1540,-1746
631,-450,-597,-1195,3048,630,1371,-15366,-2187,-608,1878,1020
1067,246,1321,-977,3003,-318,603,-14908,-3179,-319,896,1345
2147,192,1855,-1288,308,97,565,-14434,-3547,1093,-2634,-725
1783,-126,817,-552,-520,500,917,-14820,-3513,1448,-3719,-1889
2365,410,1351,72,-1034,499,1569,-15314,-3465,1561,-2507,-1352
2077,980,1549,-185,-679,395,2245,-15510,-3225,1076,824,614
851,1500,-67,665,-84,-346,3151,-14504,-3103,-376,4200,1856
5,1290,-1133,161,-416,-697,1917,-14976,-3111,-647,1644,57
423,254,-2389,123,-2158,-218,2473,-14734,-2429,-1370,-1418,-173
841,444,-1731,-306,-2300,-21,3079,-15804,-1027,-689,-4869,513
855,152,-2103,328,-1349,-194,4695,-15158,805,2038,526,864
871,228,-1991,934,-184,-658,2973,-14930,-1027,-43,1914,1892
1045,-778,-1813,1040,1550,-599,3339,-13622,-1831,415,-1830,282
483,-36,-1759,129,1592,-416,2639,-13702,-2113,-562,-1268,-495
267,824,-85,-1385,4005,98,2059,-14480,-1901,-937,-1644,-830
-409,576,-415,-2158,5462,-572,2651,-14804,-1423,-663,-2651,-336
-171,862,-1553,-1848,2056,-1207,3391,-15618,-1521,-813,-267,667
681,232,-2019,-717,-271,-928,3223,-15010,-1989,-83,1968,283
563,-164,-2029,367,-1315,-280,3335,-14368,-1773,27,1504,-640
607,238,-2123,1528,-2956,200,3765,-14782,-1705,-543,3415,-1147
275,342,-1895,1926,-4285,315,2689,-14554,-1927,-1334,4465,-1347
323,-28,-1489,1816,-3705,946,2231,-14696,-1561,-1313,2557,-1474
-3,268,-1187,619,-3216,842,2253,-14436,-959,-959,2347,-723
173,238,-1751,5,-3780,578,2379,-14434,-1029,-1141,1715,78
251,162,-2227,-399,-3508,622,2711,-14374,-1249,-684,-654,-477
641,-198,-2393,-748,-2411,849,4037,-14110,-589,-591,-1161,-1057
539,328,-2501,-464,-990,274,4547,-15174,-213,-1367,2247,438
535,788,-2417,34,-598,-735,2929,-14936,-1799,-1511,2405,759
1791,1518,-295,492,-988,-369,2175,-15830,-2155,-2331,3735,1550
2295,980,1903,-73,-288,657,1189,-15692,-2683,-1339,3560,1577
2595,2170,1949,-1716,-361,-29,639,-15990,-3133,-579,3225,1598
2195,1880,597,-3390,3393,-301,637,-15482,-4131,869,-960,-42
2391,954,695,-3239,4416,137,925,-14706,-4347,483,-3755,-420
1989,-164,87,-2250,4200,-339,1057,-13916,-3365,-551,-4324,-621
1361,-656,-167,-1339,2443,-930,881,-14358,-3075,-1430,-3083,-502
981,-694,-401,-357,1358,-602,1665,-15072,-2297,-1314,-2606,401
1167,-198,-537,1011,-1698,101,2697,-15542,-835,-1680,898,1702
1135,-116,-305,1671,-3703,284,2249,-15404,-1819,-1778,4815,2633
1369,490,291,1392,-2892,-272,671,-15018,-4081,151,1468,1180
1117,2158,1023,-397,-1748,-78,1455,-15962,-3877,1618,-2361,-1004
1505,482,-643,-1257,-2588,843,1395,-14692,-3205,1086,-4851,-1615
