2577,-217,363,-961,1313,-990,-11357,-17404,5567,2724,-7415,19833
2239,255,817,-733,804,-578,-10377,-14972,2387,4765,-11161,24669
3129,483,1353,-3712,3718,-101,-9035,-16372,-1303,4756,-18295,22528
2585,597,977,-6507,7990,-492,-623,-12132,1889,4023,-16896,16065
2043,763,1,-6705,8851,-600,-1791,-11598,2689,7946,-16401,20582
2113,59,319,-5582,7532,861,-475,-7150,4799,13742,-10210,16628
2761,-2121,61,-5376,7214,2101,3169,-4800,2597,10450,-14063,16361
1343,-705,-635,-3889,4443,2784,8759,-4494,433,8354,-10254,6021
2461,-55,-613,-4941,5354,2937,5729,-5028,-3677,10933,1651,1462
951,-833,-1355,-4999,6453,2401,10925,-5198,-2835,7752,2972,2236
231,2285,-1963,-4417,4748,2035,10803,-2720,-7009,4583,2629,-1360
541,2763,-1323,-3777,6334,1341,10075,-1056,-6645,673,7939,-4113
1441,1237,-1615,-3424,7315,173,7505,240,-5869,-4278,9021,-5354
2023,69,-1715,-2529,6823,-609,4945,-1362,-4297,-8036,7652,-5315
2555,-303,-1109,-3226,7536,-670,2097,-3472,-1567,-9877,4693,-5314
2685,-1931,-1647,-4077,5479,36,1029,-2436,2085,-13295,12051,-4207
481,-2161,-85,-5913,6781,384,-10711,-11058,5851,-16838,7607,5177
253,-1153,517,-7910,9487,-1303,-4089,-7878,17349,-6747,7844,12501
599,593,-245,-4216,6215,2032,-1597,-5316,16201,-2069,1700,16066
-411,1619,1821,-3351,4137,2983,4845,-2164,16171,3033,-1350,16885
1509,-793,295,-3137,7770,417,10145,-2324,9755,4031,-2387,14252
2853,547,917,-1268,3987,-169,12451,-3352,4869,7760,-1317,9885
3717,-3219,-425,-3723,6406,773,11133,-4578,841,7919,662,6015
3319,-3243,-297,-2422,3348,1982,11307,-6988,-329,8953,-2536,2624
-707,2567,-2451,-3323,2461,2300,13169,-5870,-1143,7882,344,-1334
477,4315,-2323,-3749,4082,53,12005,-496,-3709,8666,2408,-3826
847,1327,-871,-1521,3640,-1700,11313,-1158,-1761,7068,5247,-6575
2009,-1765,-1445,-1060,2697,-2893,8029,-1716,-5023,1884,8452,-10172
2319,-883,-821,-1899,2966,-4788,5385,-2548,-5037,-2192,12426,-10465
2833,-1585,199,-2036,1599,-3206,321,-3576,-4751,-5566,10079,-6375
2421,-415,1121,-4601,-184,-3036,-5469,-2730,-1527,-10093,8655,-33
2259,445,1013,-7662,5301,-2906,-3497,1218,3841,-16017,10457,3698
169,1287,501,-5841,5424,858,-6093,660,15557,-13400,2711,6804
-731,-1045,1743,-4838,2393,1052,-5523,-6044,4467,-15885,-1375,13978
1671,-1977,929,-4488,6234,544,5063,-4168,14229,-4294,-3164,13932
2859,-2945,147,-2951,3406,520,7869,-6034,9763,2864,-1093,12652
671,-103,-995,-2899,3009,2090,9545,-6886,6265,8801,-3362,9288
605,-529,-443,-3178,3282,3514,11395,-4388,4771,8453,-4837,4103
8255,-6855,-373,5124,-934,352,13033,-4056,1935,7444,-934,373
1971,2527,-829,-3217,3712,-1562,12715,214,-19,9026,4343,-1397
2435,197,-207,-4903,8304,-2823,10831,74,-1439,7282,6932,-1028
2335,-1707,-2001,-6352,8349,-1674,9797,-588,-2435,4918,8354,-2769
2355,-1985,-2143,-6191,6204,-257,8001,-2610,-2557,2789,7635,-4854
1863,-1889,-2439,-6120,4057,472,6275,-2836,-3697,75,6989,-7229
1089,-367,-2217,-6099,3341,160,3481,-3364,-3285,-4660,7264,-6801
-981,1413,-1967,-5811,3701,1938,-1659,-4186,-391,-10043,7958,-4188
283,-611,203,-5308,5307,1694,-6407,-4332,3785,-15609,7608,947
-2129,-1411,381,-3347,4490,1849,-2805,-2564,8403,-16743,9135,3380
-1083,-2391,2803,-4658,6264,-589,-5813,-5432,18783,-11329,7478,8210
565,-959,1135,-6891,8461,776,-4751,-3298,5029,-4909,3293,15028
1405,-127,-599,-5213,3268,1553,1249,-6382,12617,-2295,-4706,16547
781,761,-543,-2827,1760,2320,6925,-6192,8543,4713,-5567,16686
2055,-1081,421,-2920,2056,1581,12625,-4078,6215,7348,-2371,11804
3145,-3529,-189,-2605,2930,241,10551,-4542,2373,7434,-5704,5899
2025,-1941,105,-1907,1732,-689,13855,-4942,1847,7414,-6047,276
519,1847,-315,-3540,1799,-476,12641,-1280,-1043,6269,4858,-3145
869,1105,-433,-4616,5622,-644,11823,-922,-1707,6117,5305,-5862
1399,-465,-653,-3881,5198,-219,9667,-726,-2981,2042,6077,-6991
1831,-793,-1467,-4084,5119,151,6707,-2376,-3069,-1418,2107,-8331
1407,-37,-1491,-4712,5161,860,2009,-3782,-2487,-7075,946,-6879
1469,183,-1189,-4441,4618,1020,-711,-4858,1043,-13132,6720,-1845
1657,-437,-911,-4490,4155,839,-3217,-5340,5433,-14724,7181,4479
-1477,-6723,7825,-15863,143,769,-1891,-5772,8947,-14576,9935,9541
1935,5,-719,-5522,6047,-100,-1065,-5468,15229,-6881,10767,11769
-939,1671,1373,-3719,4190,-269,-2357,-4432,13687,-3177,9372,11186
413,-481,2641,-5463,8079,-140,-1227,-2702,13769,-1095,1396,10852
1183,-2003,341,-3060,4793,91,2195,-2400,9341,2109,-4874,11207
1909,-729,-1181,-1938,1388,579,6677,-3950,5823,5639,-8734,9321
1529,-1285,-617,-2436,1503,593,8195,-3908,3471,6960,-9307,6822
2475,-2829,-45,-1666,2217,243,11289,-4230,1957,7623,-7950,3082
867,567,-267,-2471,1932,-442,10683,-4582,419,8066,1097,732
509,1743,-893,-2833,3830,-900,10537,-2720,-2497,10083,6007,-240
575,609,-587,-3521,5320,22,11347,176,-2961,8300,7489,-1421
2097,-1081,-481,-4532,5450,-140,9113,-148,-4467,5732,7672,-3733
1731,-833,-1455,-5581,5311,-478,7071,-232,-6277,300,9772,-6317
1803,-935,-1357,-6342,5802,-282,1735,-3064,-4125,-5221,7597,-7933
1683,-381,-1171,-6264,5981,-633,183,-4734,-2007,-11074,10208,-4191
691,681,-1443,-5126,4890,-210,-6255,-4432,7817,-13308,10455,-277
-2849,1241,-1515,-4017,3500,1248,-4681,-2926,13259,-10655,13889,1051
-1089,-1713,2133,-3772,5758,-408,-5229,-1210,17903,-2413,10233,3448
899,-2339,781,-4554,5473,-1674,-4953,-4186,9083,-4878,-1129,8418
1849,-429,-615,-4592,3856,-721,2375,-2440,7261,9,-1199,12032
2505,-3357,-1419,-3289,2999,825,6209,-2706,3209,3074,-842,10983
9741,-6611,639,4289,2052,1088,9917,-4528,931,5627,-6220,9634
1051,1137,-1237,-3453,3604,930,13129,-5100,577,7815,-2715,6672
485,1329,-1401,-4166,6623,591,13297,714,-3065,7104,3849,2602
683,-45,-1429,-4182,4293,-281,10461,256,-1021,7793,-90,1042
1329,-825,-1381,-4802,5136,142,10529,-1768,-1505,6012,3804,-3858
1213,-409,-1659,-4858,4169,491,8241,26,-7067,-1388,6873,-8339
1293,-763,-1277,-5047,3716,650,5041,-2726,-2727,-6455,2097,-9085
1743,-1191,-1145,-5274,3374,441,447,-4318,-407,-10948,3083,-6771
1637,-497,-1383,-5427,3332,718,-1535,-4316,2449,-13870,10277,-3299
-227,237,-1039,-3454,3146,2277,-3629,-3918,9867,-14361,14661,1644
-3063,-377,1399,-4056,4326,785,-7439,-918,11039,-10169,15052,4253
-747,503,1411,-4438,5441,-1339,-6795,-4618,14061,-5433,-2151,8231
1397,-781,1389,-2916,3574,-1466,219,-4010,11235,-1754,-7292,13243
2387,-1071,575,-2248,2600,-1430,5869,-4492,7559,2769,-6037,12166
2799,-949,-37,-2081,954,-2268,10611,-4234,2481,5581,947,8032
2839,-1611,-697,-2856,2137,-2154,9663,-3936,1595,6117,3904,7152
233,-41,-543,-2558,928,-1741,11867,-3488,79,7695,820,5460
177,-333,-847,-2537,2853,2291,13747,-1038,-2763,8649,-128,2959
-133,277,-283,-2149,2752,2298,13143,444,-3011,8536,3119,-1004
595,-463,-455,-2998,2280,1919,11165,-634,-2535,5583,5796,-5186
533,-927,-941,-3090,1494,939,7519,-934,-4627,1109,2797,-9244
1115,-391,-1127,-3925,3046,796,4245,-1860,-3249,-8000,4287,-9896
747,33,-1207,-4485,2154,476,129,-3280,29,-12352,3598,-6495
1409,-851,-1259,-4592,2245,345,-1659,-4552,3423,-14911,4867,-1144
-2205,-5537,5765,-13303,49,449,-109,-3370,6599,-13221,6295,4341
1227,1251,-1007,-4019,3677,2507,-2753,-2748,11357,-9889,6968,7364
1157,-283,653,-4509,8273,2288,-2193,-3550,11407,-6439,7625,9798
-267,-1167,2785,-2076,5639,760,-2595,-5446,11849,-4603,708,9636
-2241,-4789,-127,-3960,8256,64,1269,-4056,9177,-693,-3047,10138
6207,-4375,-269,40,4121,20,6015,-3404,7313,2890,-4035,8656
9531,-2727,3999,4156,1026,400,9277,-2176,4383,7000,-6498,5840
10587,-6279,2815,4482,1,2464,10619,-4190,3071,8569,-3031,4495
1861,973,-1121,-4526,2878,-945,11205,-3156,2011,9330,2304,1298
1669,725,-1977,-3917,4389,28,10821,-1800,-1059,8783,6760,-471
1287,1271,-1409,-3904,3959,-420,9531,-1300,-2687,7422,7247,-2727
1807,-969,-1551,-1741,2882,-949,8211,-2156,-3389,5091,7887,-4245
1927,-345,-1487,-2302,5900,115,6889,-2224,-3701,2449,8249,-7497
1807,-309,-1599,-2774,6181,425,3973,-496,-5693,-4037,9503,-9834
-991,-1187,-2201,-3943,8608,-64,-1339,-2154,-27,-11434,7783,-7093
-2197,-719,-1209,-3147,3961,-1874,-2593,-1372,4897,-12720,6920,-4282
737,657,-1423,-3960,3230,-1443,-3933,-3708,7437,-12387,4497,-673
1321,1319,1317,-3480,1721,-1544,-7351,-7448,2005,-13165,-412,9272
1903,-463,1189,-3677,3811,-858,-2017,-7680,14993,-9334,-1318,9511
2325,-1287,119,-4084,3227,700,1373,-5782,13671,-198,-1404,11222
1211,-2723,9921,17,548,545,5593,-2468,9983,3451,714,8985
2041,-1313,-1059,-2688,-279,640,6893,-1252,5509,3819,-2379,7025
8131,-2215,2999,4381,386,34,8455,-1972,3009,5554,-7548,5653
1717,875,-1453,-2398,1094,787,9911,-1398,921,7609,-3185,3163
853,443,-657,-2958,3131,1789,10229,-724,-973,5884,3783,1558
1711,-943,-901,-3510,3309,2370,8929,-978,-1783,6107,3824,441
1949,-267,-961,-3780,4542,1645,8619,-886,-2251,3816,8245,-2583
1407,43,-1191,-4231,5701,992,7035,-1468,-2523,1262,8417,-4533
565,9,-961,-4442,6105,959,5483,-1548,-3047,-2613,5487,-6390
1349,-481,-995,-3657,4115,661,1935,-2582,-1607,-7434,5150,-6670
1775,-811,-631,-3841,4231,-212,-1195,-2378,1561,-13106,8657,-2618
2379,-763,-1187,-4234,6344,-413,-1803,-2862,3195,-15081,9708,-1021
2187,407,-319,-5205,7402,-598,-5425,-4078,9127,-12977,6934,5277
-45,1761,29,-5571,9236,-156,-5443,-2458,13035,-6262,7692,7599
579,771,1289,-3911,5193,-875,-3277,-2044,11055,-3504,2961,11051
1363,-201,1201,-2938,3829,260,207,-2766,6333,-3511,-3922,11462
1389,449,529,-2323,3522,699,5443,-3532,7013,1199,-8793,9863
2057,-1967,-815,-849,1647,1565,8391,-3702,4025,3597,-4612,5767
4723,-6373,-1585,-1149,1274,-172,8021,-4604,1223,3661,-3897,2929
11075,-6585,903,1028,-1530,16,10359,-4528,977,7316,65,464
291,4593,833,-5496,4363,1254,12039,-2316,-89,6693,5715,125
-995,4359,-947,-2880,3761,-943,10795,2342,-2023,5108,6586,-3773
1019,2881,-1015,-2160,1834,-1148,8225,3006,-551,1876,2933,-5727
3017,-1959,-1589,-3631,1877,-692,4737,464,-1871,-2545,2210,-7447
1095,467,-699,-6061,5631,-292,1233,-2410,-2359,-7740,3261,-5760
2293,-1299,-1675,-3570,5217,-354,281,-4646,-1605,-12793,5014,117
1087,329,-1787,-4446,4748,2061,-1063,-5956,-1823,-16017,5646,2401
1155,-45,-711,-3194,4294,3124,-2303,-6396,6865,-16142,8031,5854
-3207,-347,473,-6227,10325,1658,-4581,-8278,13885,-13988,7831,11564
655,307,43,-4561,3937,-1105,-3647,-7382,17201,-5765,7641,13979
-43,2057,289,-4944,5318,-2886,-1009,-6442,15791,-814,2980,14643
