315,-530,-458,-753,-108,-387,2919,-15732,-437,-1154,-1968,-33
175,-136,-136,-737,-100,-599,2251,-16074,-749,-1050,-3144,-131
439,-868,50,-1284,496,-710,1113,-15028,-637,-2729,-9511,-232
667,-1144,206,-1775,1444,-1245,2155,-14744,-649,-3102,-10765,-225
69,932,886,-1445,1556,-1051,-393,-16560,-1119,-4168,-11922,-1393
-3249,-2926,306,5958,-7860,-355,-4441,-18706,7179,-4217,-11175,-917
-4635,-2466,6168,6077,-15775,-1182,-7857,-21776,7327,5180,-2986,4728
-7273,-1770,5688,405,-12277,-3023,-1417,-26668,2673,12911,-267,15044
-6135,844,2006,-1431,-8880,-6450,-4141,-21176,-2079,15613,1220,18117
475,1466,6436,-6022,-1857,-11992,5845,-20314,-979,16305,-13933,17247
-3809,3834,134,-10626,715,-6508,5153,-11458,-3749,14958,-5255,5602
-5803,1714,2722,-10640,-1311,-9746,8587,-9556,-5111,5285,-970,-2427
-745,1920,2224,-12031,4301,-15807,4415,-18058,1993,-2461,-4517,-4357
7249,-2708,-4216,-11224,-3653,-11303,-2775,-11034,13721,-7502,-4097,-7623
6767,-6184,-2178,827,-10333,-820,-4297,-15712,10475,-3505,-1005,-2714
3461,-6430,1108,5871,-7576,3347,-2849,-15314,5807,3688,-6094,1448
-2027,-9974,13952,4721,-1193,7091,3843,-11858,3183,10526,-1045,7023
-4281,-8246,4340,269,2494,981,7059,-4784,-3577,6877,-4934,4688
1169,-664,11000,-1154,-311,741,2013,-3894,-609,2145,-1520,-1124
-387,-5270,5116,-6460,4037,-4954,3953,-8634,2717,1415,106,-3698
-2971,-7828,-192,-5355,2125,-4291,2263,-11624,3689,-6483,4812,-4549
1795,-6776,2992,-2626,1439,-5280,-2259,-11744,11015,-7487,5812,-5002
1429,-7998,-1788,1753,-407,799,-3603,-11904,15219,-6943,4430,-3396
1187,-7694,5354,6216,-5063,4573,-4345,-12140,8377,-4807,-462,-3092
-4413,-8270,13206,3744,364,5279,-2715,-13298,7663,3313,-7113,1758
-2635,-7520,7724,1147,502,2965,2907,-9736,3141,8729,-1996,7143
-1081,-5550,10442,550,-4015,4570,3505,-7108,-347,7053,-2971,5113
1861,-4210,9166,-8191,1793,-3888,4905,-6742,-3589,3777,288,3420
-2159,-7760,4696,-5155,1447,-1522,-171,-10958,1061,5112,4598,3106
-4255,-7816,2834,-4456,-1850,-3967,2479,-8352,2901,-103,83,-832
9,-6894,4654,-5135,2386,-4459,1243,-9424,6569,-9515,2184,-3256
2075,-9194,-360,-4191,2659,-4470,-2959,-9350,9363,-10162,-133,-4176
4435,-9186,-1928,711,-2459,-1153,-1167,-12426,13995,-7416,811,-1511
2225,-5006,962,3579,-579,3507,-2841,-11750,7413,-6584,-51,-283
-119,-5396,8146,7974,1904,6332,-1723,-13944,11713,-1430,-6332,262
-4661,-8188,12544,2668,141,5559,421,-13062,10213,6880,-2304,2674
-3657,-5322,6872,817,3432,3433,2257,-10876,2977,9228,-1770,3585
-4591,-5154,11828,-323,-902,2280,3993,-9228,-1327,5542,-3845,1825
-6059,-5414,9452,-4472,1215,-2685,3469,-7392,-1797,3212,1945,-252
-4487,-6448,4528,-4755,-2995,-4919,2163,-10788,143,2927,3014,-1194
-635,-7374,4598,-4772,-4595,-4718,1167,-9324,6717,-4139,4695,-2414
