550,-33,-102,-473,-216,-15,2178,-15257,459,-367,-89,22
546,-37,-36,-466,-249,-47,2188,-15247,475,-345,-81,45
562,-37,-108,-494,-208,-29,2172,-15183,479,-360,-33,8
562,-59,-84,-462,-220,-43,2074,-15189,415,-373,-55,13
602,-49,-72,-487,-188,-31,2184,-15195,425,-394,-119,28
534,1,-104,-494,-179,2,2170,-15229,419,-381,-89,7
584,-63,-16,-468,-194,-29,2116,-15287,375,-352,6,-11
538,-11,-72,-502,-190,-10,2090,-15187,527,-377,128,18
448,-27,-86,-515,-184,-17,2084,-15193,335,-342,48,64
552,-19,-16,-533,-182,-43,2150,-15175,405,-353,4,56
542,-7,-98,-524,-130,-8,2110,-15227,485,-410,-8,3
516,-55,-66,-484,-125,35,2154,-15229,451,-412,-59,4
488,-71,-80,-492,-199,5,2112,-15183,373,-390,-116,18
626,-55,-130,-405,-312,-35,2234,-15193,437,-417,-50,12
598,-59,-70,-492,-170,59,2130,-15265,479,-457,-71,-23
512,-97,-122,-506,-159,41,2202,-15215,455,-415,-9,9
510,-59,-108,-483,-142,52,2160,-15225,477,-394,56,-24
478,-137,30,-485,-128,60,2066,-15199,345,-374,23,3
456,-75,-82,-457,-171,40,2090,-15213,479,-469,-109,-24
520,-141,-78,-467,-170,58,2130,-15171,451,-455,-76,-37
530,1,-48,-446,-240,32,2198,-15203,465,-489,-155,45
612,49,476,-439,110,-105,2192,-15115,739,-638,-42,99
158,1363,3270,-1349,2169,-1919,2492,-15445,2719,-484,33,879
-3062,2533,11622,-3490,1732,-5915,648,-18331,5985,3714,9879,4961
-2604,3663,10284,-14184,5392,-8848,-6774,-18085,4973,6559,17591,15654
-6424,1795,1552,-20976,8411,-10061,-14184,-19099,-47,3533,22147,27326
-5900,3415,-3070,-23127,29631,-20444,-6204,-17145,-7937,-1582,17091,19543
-9266,627,-13798,-8188,20288,-29218,-6742,-13917,-9115,-9270,624,27432
1016,-2225,-11392,6799,12144,-25432,5458,-13499,-4343,-9504,-4842,31681
5702,-4621,-6584,10926,13371,-13462,9598,-7237,-5955,-891,3073,21460
8014,-5847,-5294,13762,17515,-2333,6898,-5643,-7573,-10895,8983,16288
8040,-5591,-4064,13562,21024,6889,6638,-6183,-6961,-8840,9977,1653
4996,-4561,-3492,9024,9724,15218,6064,-6815,-4253,-9462,12812,-10437
2480,-4593,-2662,6492,8236,21335,1448,-8761,833,-10192,12164,-17079
-16152,-3571,1564,301,-8152,9044,-12312,-7095,7223,1047,-8975,-18853
-23408,1143,908,2354,2,4120,-15778,-8871,20037,-15,8225,-589
-15224,-9017,7824,-11433,6857,-7305,-12880,-4099,2719,8974,-4279,9987
-7004,-12821,-2554,-16254,3782,-15391,1502,-473,-3575,9484,-809,15119
-586,-10319,-4476,-11196,14696,-20888,3598,-5401,-5047,7788,4748,21049
7604,-7601,-8410,-4210,11818,-21988,9582,-4385,-10403,7798,-7831,14407
12212,-7213,-6912,4518,1107,-10761,12092,-3435,-8503,-3719,-25,2606
14678,-7011,-6108,6895,-3569,5211,12322,-2885,-8815,-9087,4751,-9693
11914,-7301,-4268,7457,1839,17698,8254,-4653,-6757,-11214,11377,-17331
4126,-5147,-3620,6622,9584,31373,-1444,-6581,-599,-12187,7392,-22755
-28536,-6357,8140,270,-24573,20515,-20718,-5747,10285,2616,-3001,-10741
-24356,-13425,13128,-15162,-8514,-7150,-20600,1935,9863,1367,2073,12410
-8544,-11589,-2510,-12855,7582,-28853,-4176,-4111,941,6155,-10591,14312
1540,-7995,-5374,-9011,1606,-24194,3676,-6433,-5305,6897,-1913,16590
8852,-7853,-5828,-1676,5734,-15002,7792,-4145,-8799,6736,-11097,11761
13350,-7369,-6626,2764,913,-3789,11260,-1435,-8999,87,1290,1044
12694,-8073,-5056,2373,-170,8772,9624,-3791,-7913,-6238,512,-7883
11086,-8283,-5636,4351,290,19204,6814,-4021,-6167,-10869,8894,-14373
158,-8117,-5914,4925,5436,28872,-2278,-5421,-373,-11353,8364,-19363
-28086,-11699,204,2152,-8485,18109,-17040,-3691,8729,-162,1883,-10685
-19282,-11609,7316,-15504,-2884,-13105,-20174,-2619,7911,-1084,9134,16948
-1988,-9827,-2578,-7303,7491,-26534,-5436,-3323,1715,2243,-9110,13995
3068,-7047,-8180,-2191,2498,-23026,2738,-2459,-4363,3388,-5909,14097
9786,-7623,-6494,-346,1394,-12307,10962,-3011,-8231,7724,-10148,13712
14638,-8041,-6396,2469,-162,1179,12840,-1085,-7311,-877,-694,-1609
11724,-8545,-4780,3551,-3191,10837,9170,-3269,-4073,-5511,2471,-9819
10032,-7557,-4716,5139,543,21277,4262,-5727,-4383,-6989,7649,-14306
