240,-252,148,-435,-221,-188,5646,-8362,223,-425,-62,-194
204,-232,140,-508,-248,-112,5678,-8342,291,-443,-104,-99
1988,-172,140,-983,-255,-92,5662,-8384,291,-476,-106,-43
2008,-208,204,-996,-251,-60,5684,-8390,337,-455,-101,-25
2052,-216,140,-952,-253,0,5720,-8332,419,-427,-78,32
2020,-268,140,-982,-124,0,5750,-8400,431,-389,-96,-2
2068,-216,-174,-892,-120,0,5764,-8314,379,-371,-42,-73
2052,-210,140,-886,-128,-26,5810,-8364,233,-373,-76,-23
2052,-252,-280,-480,-124,-64,5798,-8396,217,-395,-37,-51
2020,-186,-288,-446,-256,-120,5760,-8338,261,-433,-110,-117
1988,-252,190,-507,-254,-88,5706,-8322,159,-455,-91,-98
2020,-188,214,-480,-241,-96,5726,-8374,353,-443,-88,-95
1988,-250,204,-492,-222,-112,5686,-8438,325,-429,-25,-78
2036,-184,140,-438,-256,-108,5674,-8368,311,-428,-66,-54
1992,-60,144,-950,6,8,5800,-8364,233,-447,29,-113
2000,-252,238,-918,12,9,5714,-8418,353,-399,5,-165
1996,-220,-252,-951,56,0,5692,-8358,177,-393,58,-209
1988,-282,-290,-960,-256,2,5706,-8414,227,-423,-115,-86
2024,-250,172,-512,2,16,5636,-8362,157,-447,18,-134
196,-268,148,-978,-168,9,5648,-8448,215,-477,-188,-104
2052,-248,186,-553,-221,-48,5634,-8508,219,-500,-191,-32
2052,5636,140,-768,64,-280,5732,-8602,313,-588,-424,-13
2000,6222,140,-1020,68,-796,5780,-8686,-15,-826,-1050,-4
2006,-164,-2396,-1711,832,-1245,5736,-8430,-225,-1239,-2332,-218
2116,-188,-2412,-4031,1152,-762,5852,-7826,-199,-1845,-2843,-578
4038,-306,-2404,-3928,58,240,5234,-7676,889,-1772,455,-757
3396,4804,-1778,-3966,3104,656,2926,-9440,643,3,3941,1058
2040,4820,-2092,8,328,640,1958,-11276,211,-9,11247,3897
334,3782,-2140,-4080,390,156,178,-11016,-707,-1629,17840,9180
-7060,4932,-2148,-6140,250,34,-3118,-11294,-3835,-5499,11023,16031
1606,-268,-5968,-7236,18,36,-3110,-5864,-7613,-12223,10282,19517
-5734,-284,-9260,-16384,274,17411,-852,-6744,-9327,-14999,2012,18183
2760,3806,-8550,-16216,3328,14593,3566,-2508,-8071,-16060,4219,14396
2008,4816,-10562,-23520,1304,16390,1764,-3570,-9701,-16765,1885,16860
3332,4888,-8304,-16095,5000,14340,3032,-1146,-8291,-14544,-55,14573
76,-312,-6220,-15852,710,194,4956,42,-7425,-14973,146,14642
8756,1236,-6516,-15344,459,40,8592,1280,-6913,-15480,3676,12590
11604,-316,-8528,-16000,4260,1146,11228,2044,-8025,-13908,7179,5134
11718,-220,-10444,-15475,25,576,15536,-272,-9401,-15055,9299,-6238
16664,-258,-10252,-22264,4117,1860,16332,-6222,-9203,-16873,12232,-19511
12764,3780,-10090,-15352,113,0,15322,-10466,-8481,-15383,1329,-32768
