746,-89,-62,-496,-255,17,4642,-8058,2387,-385,-52,15
874,-29,152,-512,1,4,4674,-8014,2309,-396,12,25
812,181,50,-512,-158,-6,4662,-7988,2385,-406,-4,-9
746,169,58,-992,-84,-44,4674,-7980,2365,-394,-8,-35
848,-51,-12,-1024,-48,-60,4624,-7944,2361,-430,-52,-33
850,-77,-4,-992,-40,0,4684,-8090,2373,-470,-28,-4
746,-71,-8,-958,-128,-30,4712,-8066,2345,-437,-72,-25
750,-71,434,-506,-224,12,4630,-8152,2459,-377,-81,36
778,5827,-58,-510,0,130,4752,-8594,2205,-227,15,221
746,-329,-190,6,314,513,5172,-8486,1901,229,459,529
1802,5451,-382,9,872,577,5628,-8546,1821,344,980,1060
778,5159,-570,60,361,353,5438,-8582,2017,745,2450,1380
810,-285,374,1057,523,656,5368,-8378,2609,1203,2697,865
1516,-205,412,11,3844,1009,5392,-8078,2945,2239,4143,1061
906,181,-374,1028,480,148,5856,-7794,2835,3378,5365,530
874,-279,-638,258,0,1804,4856,-7694,2183,3266,6335,-173
874,-79,450,569,1548,16,4834,-8114,2839,4063,7816,-255
778,-157,-614,545,9233,11,4636,-8116,1593,5037,9561,382
4366,171,630,112,2340,-1534,4166,-7504,601,4132,7336,-600
4842,-317,514,256,3808,-880,4842,-8198,477,2945,3732,-246
3414,5869,-646,384,45,256,4460,-9306,-527,3035,4746,808
1900,167,-270,2048,4368,8,5814,-7958,449,3008,6697,800
1518,195,538,1417,8280,1288,5322,-7768,997,3551,8536,1343
1322,-41,642,4372,8304,512,5240,-7486,715,4482,8287,1753
870,5069,-266,5250,8784,38,4658,-9342,701,5663,9217,1208
1022,-93,-494,5172,1024,809,5452,-8118,1693,6041,11751,958
746,8145,-2680,4184,0,0,4660,-7406,1447,5742,12214,1018
1174,675,370,5728,6820,9,4580,-7038,725,5787,7947,-1645
4988,-85,842,1030,6944,-4054,4728,-8158,1023,5233,7237,-2933
810,6579,402,1089,9752,-3071,4556,-8850,1179,3876,9912,-625
4906,933,626,4102,10379,0,4534,-6628,1379,4631,10596,801
3436,6883,394,72,1445,2232,3314,-9634,431,1954,1981,2299
3698,-329,402,2058,4097,786,4486,-9086,457,3326,5101,1958
5098,675,-646,3170,6920,1360,5434,-7280,1423,3169,7045,1365
1330,677,1202,0,6336,100,4976,-6864,1259,2407,6624,1757
878,683,1142,1160,4248,385,4708,-7208,1289,1704,5140,1902
748,7153,-652,88,4112,1040,4520,-9106,1373,2252,4716,1303
1610,6245,-654,3072,5384,0,5408,-8378,1435,3696,6188,474
2036,725,1458,2944,146,1048,5880,-7650,2001,2896,9457,1550
1108,-157,-354,2049,10796,82,4754,-8228,2941,2295,11043,2221
754,555,3996,7,1000,2486,3372,-7664,4397,3119,4872,-562
5610,4851,1394,147,1124,1192,5372,-8846,2869,6725,6329,-2829
878,4851,530,1049,9248,1029,5072,-9070,1327,5515,9471,-882
3386,-313,-382,517,256,675,4102,-9274,803,3720,8946,2165
4884,-289,-614,512,0,13,5332,-6052,1391,4612,6820,2130
3090,5539,470,645,1184,33,3942,-9076,473,2910,3072,2631
3180,6071,-638,2048,258,274,4592,-9472,-467,3281,4673,1715
1260,23,658,2656,4385,2066,5170,-7510,739,3864,7190,-423
762,935,-654,4224,8624,33,4908,-6832,849,4209,8700,-1707
1074,949,882,78,4356,151,4854,-7222,1005,2749,6299,-894
1138,-77,402,833,160,2473,4980,-8652,1003,3126,5457,-1082
5114,5927,370,3716,2192,1650,5120,-9134,725,3821,7430,-33
748,-347,-610,512,10752,2212,4962,-8288,1795,2583,10999,2328
4350,137,-1786,1216,8480,96,4188,-7488,2303,3393,9854,1684
4882,-87,-652,1154,6144,1056,4814,-7580,2035,3687,5889,-793
1002,6691,434,4403,393,571,4784,-9522,2723,5075,8776,-332
778,163,-638,256,8208,514,4646,-7918,2305,4824,9350,1023
1196,5827,16,388,8716,144,4744,-8466,1865,5471,12402,3080
746,675,1922,16,10388,7201,1364,-7010,2003,5655,11538,7780
-4838,5347,-4648,4630,1328,11136,-4432,-9058,591,4937,3264,12397
-3304,675,-8834,1120,256,6176,-3192,-7394,-275,5242,1579,15906
-4852,9921,-12910,1025,1056,16425,-3798,-5844,-273,3025,-3445,16020
-7414,10021,-9790,1416,394,16384,-1432,-4780,-329,1435,-7291,17605
762,8291,-11762,28963,0,16778,1696,-5030,-1233,-2847,-12783,17675
5150,7847,-7662,24962,17154,18604,5142,-2142,1785,-7356,-11813,19819
9004,8035,4214,6144,24616,6257,7548,-1880,4687,-9841,-5518,14027
-21778,7331,5490,5,128,16448,-720,-6842,3049,13840,4269,14650
11358,1771,1686,2052,-26302,-12025,13262,1548,2547,10992,-6222,-10384
9970,-309,4282,4508,1538,16,6182,768,5685,4721,-9574,-15800
8074,-61,4532,-8184,12610,7296,8500,-632,4497,-500,-3473,-16905
6130,-267,3712,-16160,160,8355,8258,-2466,4433,-3601,1192,-21728
1826,2219,-2158,-20188,8711,8209,6000,-6572,1871,-3626,11819,-24357
-5322,3759,-8458,-16128,16595,8625,-5314,-11678,-577,-378,15160,-18725
12154,-29,-4744,-8192,10752,129,3724,-12176,-2915,-2222,16908,-13323
-7380,3811,-11786,1536,10754,21792,-5118,-11044,-2683,3725,8658,-10517
3086,2499,-4614,1152,8462,1861,3552,-9558,1165,5561,10782,-9646
1546,4067,78,6404,12392,7200,6076,-10230,2053,7698,11893,-7453
1562,3747,-388,2612,12865,780,2946,-10410,-19,3319,14295,-835
1018,4003,-2188,196,12352,542,3308,-9330,-405,4856,12164,1071
810,819,-3038,4705,4608,1735,5376,-6748,1291,6821,13633,2188
1002,39,-2926,4488,16384,320,4748,-7542,1147,5298,16989,5735
3888,-89,-4550,2116,13376,4098,4004,-8226,-165,6827,13460,5480
4842,227,-94,1537,4,0,4708,-6722,1235,5773,9567,1880
4330,531,-644,1040,289,456,4360,-8858,2215,3161,8580,1663
1130,-345,-618,1,256,-2303,3420,-7366,2259,2049,897,2
748,5957,-526,68,146,528,4762,-9480,1017,505,371,2719
3328,-325,754,1576,1024,34,4096,-9208,1087,2089,4162,1419
4906,-85,1394,3272,5376,-4027,4570,-6962,2075,3188,5469,-920
4980,923,1918,3080,4626,-4096,5002,-7094,2163,3823,4515,-1927
5002,167,-158,2193,5649,384,4994,-7662,2131,2134,5582,677
746,5867,1170,2048,6209,74,5146,-10128,1287,3498,6496,1523
4850,-61,-454,1545,8833,2128,5222,-7942,2169,3852,9237,2169
762,55,-636,2083,96,1040,4500,-7626,1817,3633,9158,1744
4340,211,572,129,4882,56,4396,-8058,1223,4345,5870,-125
5162,-341,378,1568,953,2080,5310,-6766,2373,3519,4992,-302
4842,587,-622,674,282,323,5194,-7626,2103,2706,5426,424
4350,-91,-646,258,80,513,3948,-8308,1289,2363,5089,724
3246,6819,374,3096,20,1028,4042,-9534,687,3543,4502,-1186
810,-37,628,140,2,2184,4534,-7876,1381,4094,4493,-1739
