-675,-1385,-1180,-4076,113,1161,4349,-10462,349,-245,1409,1235
-287,-1377,-1520,-3582,1544,1024,3809,-10406,127,-58,1613,1610
-547,4461,382,-4223,1632,1,3859,-10592,467,8,1695,2318
-719,4799,562,8,643,32,1819,-11246,801,38,3916,4419
-8929,2845,-478,-7808,1057,304,-1159,-12172,-223,-377,5482,8700
-7841,1701,-1376,-3550,0,10,-2077,-10608,1351,-744,282,13127
-733,-347,18,2112,-4092,1034,-235,-9098,-271,-1937,-1890,15288
-417,-327,-1504,2048,424,3108,-61,-7664,17,-5868,1388,15591
-8243,-4281,-1440,9226,-12280,8,253,-5132,-1627,-6753,-4753,15206
-727,-2409,-1264,8195,2194,2209,2987,-5120,789,-8279,-4646,11999
591,-1287,-590,6304,-5880,3776,3393,-2178,851,-9680,-5486,11656
3613,-1379,-458,0,-7423,4128,3415,-2812,-1037,-8122,-4453,7763
-2571,-323,-1484,1033,-5120,1032,5847,-636,-493,-4995,-212,3127
3369,-363,-1262,-2499,654,620,3899,-1168,-355,-2050,219,804
-223,485,-1488,-6496,6402,66,-13,-602,2755,-2402,7855,130
-6555,-363,-876,66,100,0,-2021,-1272,7627,1191,3333,2627
-2785,-81,534,2304,528,524,-1381,772,5155,2225,2037,2823
-2771,-1255,-880,256,-7884,784,-943,1770,449,2417,-3999,4369
1569,2725,2594,8356,-15798,1,1385,214,-2733,-3217,-5316,1219
797,725,8036,268,-12652,-1790,4015,-140,-2055,-4712,-8761,-1796
7621,-2147,-936,18,-8056,-2010,7763,-3076,459,-3809,-5625,-1983
4673,-83,-1392,-2016,-3134,86,6745,-774,1543,-1787,-2889,-3631
2845,1963,-1486,-7676,613,2139,2945,1526,573,-3594,1284,-5220
-4595,953,-1456,-5340,10881,549,-3463,2074,5481,-3877,11755,565
-7251,-1211,3224,-8188,8448,130,-7383,-1092,5911,-3509,11296,5010
8373,-3435,6948,3461,6400,3089,-5675,-4118,9097,3701,-734,8003
-99,-1379,556,600,-13438,1025,307,-1820,1929,2809,-9448,3296
545,-871,592,649,-11756,772,1427,-864,-3159,1381,-11412,843
5577,727,6832,8456,-15351,-480,6223,-622,-3529,-6554,-6775,23
7453,-2659,10802,8400,-3808,320,8437,-2618,-2145,-7978,-3750,-4331
4903,-1225,2720,1025,-14320,289,6053,-1870,3139,-2671,-5778,-2604
8057,-1125,2576,564,-4927,292,8031,622,5259,-1518,-478,-3843
557,-355,6672,-4087,1036,2049,633,3244,8885,-1080,5852,-1771
7587,-863,-464,34,1546,386,-4525,-1030,10027,2792,9373,4887
7993,-1387,8048,6147,2178,3072,-4687,-2324,12447,7621,3054,7683
-739,-1241,1056,2785,-3069,2304,-307,-1618,2027,3500,-3665,2100
1377,-743,8232,2086,-16373,576,3101,-1808,-1663,-2574,-9609,1994
7469,-2891,7064,9216,-8052,145,7209,-2828,-2113,-5188,-4846,-3640
9547,-1323,-1248,2594,-7136,0,9527,-2062,765,-5460,-4827,-5629
3871,-1387,80,2829,-4928,528,4025,-580,649,-1129,-4634,-3333
7501,-343,2814,-1911,1331,178,7479,1656,5041,-1622,2416,-3655
-2017,2453,7314,-4092,10496,1546,-2303,1360,9121,-933,11739,101
-6875,927,-1262,144,64,7064,-1609,-202,7747,1400,16219,7194
8607,-567,-880,5128,8,8776,-4987,-1638,7663,5806,3085,10081
-2273,793,4000,866,0,6818,-1089,-428,4509,2676,-1726,6655
-667,663,-1518,-2031,-2615,2386,1747,-272,2485,-1540,-2139,2862
371,-75,-704,128,-6136,546,1127,-522,-629,-2802,-4573,539
4689,-1131,7192,3210,1940,0,5077,-914,-3141,-4983,-4455,-5090
9501,-1003,10940,8344,-6383,1079,9527,-1982,-2177,-8063,-6000,-6374
3869,-1355,-1520,1027,-7548,130,3931,-2078,-119,-4896,-6811,-6241
7453,2209,-1326,1825,-8182,3017,8273,1534,3043,-2152,-4064,-4299
-4193,-1233,6676,704,1,2098,-1109,2126,11277,1309,5943,-1601
-2881,-1259,2908,4174,8504,544,-2529,676,10977,5762,13379,5064
7987,-1387,8984,4231,2081,8448,89,-1148,8747,6787,7267,8936
-2659,-1387,3472,8,91,4130,-1049,-1228,4623,4033,-4950,3799
1599,-875,-1252,12,-4088,320,2153,-894,2851,-1884,-564,304
-415,-363,-1456,768,-4078,256,1961,-1342,-1447,-3196,-4180,1062
5405,-1109,-968,2098,-6048,-4944,5685,-1156,-941,-4662,-5864,-4234
7479,-5477,-752,9600,-11775,516,10589,-6796,3,-6441,-9106,-4882
7461,-807,1576,224,-6143,14,7623,-398,1997,-6189,-4441,-5404
3431,-299,3164,390,-2368,2080,2959,-1408,3455,-3807,-80,-4902
1345,-865,9488,66,7360,274,1599,1530,9603,888,8435,-2383
-2183,-1259,-1470,5632,241,552,-1575,-190,6725,5495,15432,5092
-3647,-1319,-1392,6316,8192,8448,-3263,-2542,7371,7544,7823,9043
8547,-3809,-1520,128,4131,4672,-4933,-2886,5445,6208,3925,6603
1313,-1307,-1512,-1902,32,390,1705,-1316,2853,-228,-1719,2155
-729,-619,-1002,0,-8191,0,595,-1610,-993,-1992,-7544,2663
2877,-1355,8800,53,-15098,-2038,3789,-1332,-3199,-4343,-10679,-384
6465,8025,6688,256,-12032,48,8169,-1654,-329,-6838,-9704,-5627
7719,-1387,-876,64,-8109,2347,8297,-104,1341,-7926,-4806,-5528
3741,1751,2576,292,200,49,6163,814,4169,-6728,1480,-6474
-739,-1385,7186,-3068,0,1160,-1047,122,9681,-1963,6711,-2570
-547,281,6672,4984,10242,768,-25,-738,7547,5156,11364,3086
125,683,-1000,4145,0,8296,159,930,4181,7350,8295,7916
8351,-1355,5920,6177,2199,6896,-3945,-1976,6523,6449,5944,7072
-225,-235,-492,70,264,4355,271,-1334,5817,586,360,4189
-731,-185,-1488,141,-6016,736,955,-1234,729,-2009,-6490,1828
2943,-299,-496,1096,577,192,3573,-600,-5,-6489,-6193,-42
5119,437,-1494,1537,-7680,129,5771,-422,-1149,-6445,-7587,-1958
7743,-357,1360,275,-3440,3082,10357,-308,987,-8621,-3167,-5529
4413,-1259,1728,6147,-4056,2048,6667,-396,2001,-8781,-2160,-5628
1357,-1379,656,146,1096,196,1677,-1686,5695,-3785,2177,-2792
2333,-875,7472,2321,4163,324,2799,-310,7355,3243,5045,287
-719,-1329,7192,6406,8192,2128,-1019,-110,8165,6713,12776,2517
-4255,413,-676,3200,556,4099,-4259,-616,5411,7481,9037,6350
7615,-3563,-848,4545,2068,6432,-5333,-2734,6523,4375,2952,7091
-203,-1291,-1512,834,1032,2066,361,-2064,2735,648,-5376,3524
-723,-871,600,-2527,-4084,453,1695,-1310,263,-2441,-4026,2407
3515,-329,-1518,3088,-6368,-2672,4513,-890,-1435,-5076,-4178,-2944
7965,-167,-1182,8342,10,2560,8501,-1218,-939,-7681,-6229,-4650
5429,-4329,-1512,417,-5116,4368,6791,-3648,-485,-7889,-5212,-8734
1309,-1131,3766,4098,-7999,47,5457,-360,4713,-3749,-3332,-4097
-355,261,6840,1048,261,2307,1629,-318,6605,1732,4313,-1014
-643,-1347,9128,128,2061,2953,-867,-426,9283,6040,12272,79
-8279,-1367,2754,6144,1542,4482,-4959,222,5387,6039,11662,5808
7581,-345,4900,3472,4480,5124,-4621,-1556,5339,3324,6041,7451
285,-815,-1388,3,3458,5146,633,-1676,4215,1557,-4453,5921
1455,-4265,1684,-3546,-3056,2122,1521,-2720,1929,-2378,-2774,2763
1469,-1319,158,-3038,-7399,8,1795,-1586,579,-2990,-5126,1344
4071,-747,-480,4101,3,5,4289,450,-915,-4230,-3137,-2809
7549,3221,7472,1056,-8191,36,12297,-4926,-4051,-8929,-8313,-5937
5405,-3179,-494,0,-5888,2180,5211,-3598,1605,-8407,-6074,-5818
4389,-875,594,3778,-7608,160,6547,-868,4857,-3864,-2645,-3740
-675,661,6676,64,4772,3073,-467,158,6785,1477,4938,-186
1387,-853,6680,4842,8706,346,1385,288,8643,6355,9279,411
-3555,-1243,4112,48,8336,1665,-3123,1278,4497,8548,9669,4138
-4769,1181,-1368,6314,1032,4368,-4255,-214,6961,6264,8994,7073
-2139,-2667,5648,640,528,4888,-1887,-2550,5695,4746,293,6996
-275,-1105,-432,-1994,-1728,4096,1979,-2056,1521,-1704,-1865,4954
1351,-1387,-208,-2910,-5564,832,2447,14,-187,-3019,-5380,811
3379,-25,-432,649,-7804,-2496,3551,1552,-159,-5246,-4900,-2450
5821,-353,-1484,164,-6974,1379,9889,-6862,-1097,-8193,-7428,-3300
7969,-857,784,4104,-8176,2594,7777,-2082,961,-10439,-6286,-5325
3425,-1387,-940,160,-7808,2186,4367,-1778,1565,-6830,-5672,-4195
4973,-1383,1052,4378,737,518,4807,-414,5529,-3332,1536,-3245
1333,-1355,7314,564,5248,2049,2041,-12,7965,2755,5742,-1304
7793,-363,2352,2099,8278,2063,-1429,-2088,8753,5801,12613,37
-4307,-81,1456,4360,11009,4483,-3141,-710,5591,6354,11060,4729
-4579,-2667,5748,5128,556,560,-4467,-2534,5387,5483,4635,6845
-543,-5243,4888,3924,4488,4428,663,-2366,4683,3570,-1440,6010
-131,-1383,578,153,208,3092,1269,-636,939,20,-3734,3552
-731,-561,-1512,-3053,-5116,-3072,1523,268,457,-2299,-4988,-830
685,-827,-1424,4,-6646,-1024,3005,-1438,685,-6135,-2290,-841
4437,789,6964,2,-6128,270,6641,1302,-2899,-7514,-6083,-1346
9641,-1355,-752,6208,-7420,2482,9893,-1868,395,-9353,-4720,-7994
285,-1067,3672,910,-8192,3633,2633,-1058,4001,-4918,-4762,-3961
1325,-1333,1584,4330,66,292,2123,-1238,5921,-199,2486,-1527
-475,-1369,8984,40,115,128,99,184,8609,5294,9103,960
-2659,-995,-1504,332,0,0,-1235,566,5703,6518,9225,3839
-1687,-1387,-998,5120,5260,4160,-1417,406,4067,4980,7595,6222
-1505,-779,-1518,3416,4,5390,-1663,-1048,6019,3632,1454,6092
-227,-859,-1520,-2560,1877,1068,119,-878,4091,-740,1925,3487
-727,-1251,-1240,-3963,-5627,12,775,-172,1231,-3129,-2032,-854
3565,-1255,-1496,-7168,-6992,551,3925,-436,1239,-7376,-6106,56
2845,-363,4374,225,-8064,2,3399,-824,-1661,-6587,-8238,-2075
8609,-107,-1034,0,-12188,3724,8959,2416,-1615,-10273,-8716,-4937
4637,-971,598,1056,-7487,2068,5117,-1554,897,-8212,-7546,-5078
3495,-1003,2582,4161,-3548,-4056,3575,-950,3795,-2660,-6,-3356
7633,1189,2576,3240,6144,-2560,3567,364,6561,3591,7104,-2601
-737,-1099,6672,4423,1024,192,-727,60,10689,6835,13478,543
7453,-43,6706,7168,8584,64,-3849,-314,6977,7085,12906,4709
-4227,-4027,6344,3584,5136,6723,-4227,-3272,6725,3552,7096,6938
-3769,-4019,-1448,25,569,4625,-1591,-3444,3729,1839,194,4726
311,-777,-460,-4087,-3952,576,-365,-438,193,-1874,-1488,1712
2077,-335,-1516,-4068,-12020,1072,3383,-136,623,-4074,-7928,1353
5405,-747,4880,1636,-7672,192,5567,78,-2599,-6358,-7766,-759
7729,-1387,7440,3079,-8064,1910,8747,-16,-2387,-9220,-6372,-4421
5437,-2603,660,258,-3839,2305,6535,-74,2601,-7327,-2207,-5648
6179,-869,-1440,5650,-3647,0,5989,-1022,1267,-2060,-2516,-5880
-2719,-1179,532,1,2,0,-1691,546,6259,1343,6628,-4360
-4739,-1353,9116,4160,4105,593,-2391,-168,9741,4425,13169,1232
-4293,-1383,-1376,1162,16,4192,-653,582,12735,9323,8731,4199
7517,-3905,6672,0,74,5384,-4067,-2910,6791,5206,3428,5251
-4195,-1027,-1514,16,546,2625,-1307,-2814,5249,878,-2806,2817
1101,-4779,-1474,528,-5884,-4056,5975,-7494,9775,-695,6042,2379
7517,-1367,4960,778,-9980,267,3729,-2136,-2415,-5333,-9479,1749
6005,661,5600,276,-14456,36,7709,-204,-2195,-7836,-11859,-231
5409,-875,90,80,-7933,801,6773,-1952,1143,-7081,-3383,-7299
4637,917,-1412,1046,-7120,1288,4959,1378,1131,-4845,-2288,-4834
-579,949,1432,5151,-2044,344,239,68,6991,-383,-1118,-1585
3397,661,6716,411,12,1283,3363,700,8065,4082,1364,-624
-1499,-363,7696,1410,10312,481,-1415,-822,8493,6177,11982,1154
-7843,-1383,-1392,4196,8192,4224,-3209,-2262,7677,4102,12460,6975
