876,-247,-560,6724,-7662,253,3413,-8325,-1020,6878,7139,-2645
738,451,-1406,7483,-8629,-189,3817,-8673,-954,8260,7941,-2876
542,775,-2108,8021,-8386,278,3625,-7937,-1406,9735,7975,-3718
328,1465,-2356,8710,-9518,453,3339,-7145,-1364,9523,9969,-4655
704,1977,-2488,5340,-8957,74,2849,-6765,-992,8640,10763,-4455
808,1417,-2548,3287,-6777,-454,3131,-6763,-780,9017,11044,-4466
544,669,-2904,2907,-6979,-412,3083,-6705,-324,7115,10192,-3266
390,905,-2732,5056,-9759,-175,2693,-6561,-312,6265,9078,-2054
900,927,-2280,4511,-9391,-438,2809,-6361,-82,5838,8372,-1757
1172,481,-2122,4022,-8426,-1094,2731,-6333,44,5766,9334,-1962
808,2447,-1708,2422,-8150,-2124,1555,-7281,232,5143,8057,-1571
2244,597,-1526,1593,-6995,-3615,3409,-5743,252,4380,7824,-1185
1436,2423,-1418,2394,-6474,-5044,2195,-7671,-10,3756,5396,-137
1576,977,-1076,4829,-7061,-2925,3437,-7627,-270,6083,6658,-1532
1626,513,-610,8256,-8825,-3152,2655,-7669,-716,6223,7327,-681
2152,951,-88,8390,-8740,-2774,3441,-7559,-738,5139,5423,187
1718,553,90,6800,-7308,-2380,3215,-7107,-930,6269,6540,-1913
1132,657,-406,6757,-6653,-2787,2883,-7647,-938,6540,6983,-3121
1126,457,-1116,6853,-6789,-2917,3417,-6743,-890,7103,7410,-3258
1056,1211,-2168,7623,-7964,-2435,2853,-8213,-1422,7406,7199,-2322
-310,2237,-3198,9590,-9902,208,2859,-6955,-1224,6748,8838,-3568
-272,2873,-3086,7108,-12519,-484,2051,-6345,364,5594,10101,-3462
1766,815,-2154,3654,-5257,-2428,3523,-6403,652,5034,9104,-3135
1090,701,-2094,5125,-5881,-1948,3181,-6135,128,6488,9666,-2469
1514,1537,-1820,5639,-8467,-852,2327,-5935,-118,6368,9226,-2175
1626,1929,-1916,4775,-8377,-1053,2119,-6235,-180,6061,8224,-1682
1858,1619,-1832,3725,-7813,-1885,1617,-6607,-226,5881,7881,-1350
2010,801,-1506,5451,-7449,-3106,2401,-6807,-516,6110,7600,-471
1914,2735,-968,6036,-8372,-3649,1683,-7099,-714,5519,8113,663
1836,2073,-524,5537,-7160,-2732,2163,-7475,-862,5723,6627,1245
1566,1743,-302,7119,-7935,-3012,2029,-7207,-814,5758,7609,251
1966,1735,60,7583,-8881,-2863,2393,-6659,-850,3979,5538,404
2634,1385,116,5715,-7466,-3155,2799,-6603,-514,4082,5001,-749
1564,1227,14,5031,-7065,-2389,2399,-6497,-260,5015,4755,-1782
1224,1523,284,4685,-5825,-2668,1823,-6307,410,5734,4893,-1603
672,2233,884,2796,-3686,-4237,559,-5993,264,6358,5485,-249
190,1673,1740,314,-4,-6267,-485,-4769,902,7047,6996,1685
-1062,755,1826,-1521,3067,-9244,-1173,-2297,948,6572,8727,4495
-3456,2299,422,-4181,6252,-11112,-2637,-3137,166,2380,4658,11027
-3948,1213,-1660,-7848,5913,-14574,-2089,-1747,-2124,-2152,6269,9002
-2598,-943,-2436,-5094,3192,-14281,-1859,-1397,-2246,-4645,-1689,3653
-456,-1719,-3700,-3667,249,-12300,-3163,-4691,-3336,-8850,3986,1197
1894,-3593,-3936,912,2717,-9437,1455,-4093,-3404,-8677,-16322,11125
4142,-5607,-3870,1799,723,-6057,2667,-3199,-2852,-9993,-9555,14040
3392,-5937,-4068,5119,-2747,-2555,2273,-2213,-2740,-10779,-8218,18760
3030,-5753,-2612,8570,600,484,2865,-1407,-1154,-10137,-26,12296
2046,-5437,-998,14051,5243,1417,2237,-583,-172,-10786,3013,8271
1018,-4961,-196,16148,4947,3645,1879,-1487,368,-13953,6742,6056
7890,-15201,114,-7738,7450,-5073,-1733,6137,1720,7499,688,-3493
2932,-7493,-696,-1147,-4568,8200,3337,2827,1156,13772,7325,-8616
372,-8023,720,223,-657,1569,3233,457,870,8568,20612,7202
-236,-7117,416,-3647,49,4652,667,-143,-780,7811,-5349,-8648
-240,-5989,-626,-6603,-3388,7837,703,-2345,252,2879,-12377,-4130
-1164,-5855,-894,-3907,-2876,5908,-491,-3277,608,1290,-16416,-2118
-2030,-5989,-380,-2784,-1048,6179,-479,-3073,1584,6750,-3875,-11177
-2256,-5195,-1040,-1092,1664,5407,-1511,-2799,1966,8934,-959,-10595
-2734,-4599,-1838,135,-1250,2726,-363,-2329,1020,10233,794,-9706
-1232,-5231,-2100,2325,-2315,1622,-693,-2439,262,11116,2456,-7922
-1466,-4721,-2732,3987,-3981,1007,-195,-2885,-214,12361,1817,-6502
-1860,-4563,-2154,6426,-5330,1024,-363,-3275,-754,12416,2810,-7027
-952,-3039,-1436,7913,-3946,-1065,-193,-4207,-582,12213,3634,-7474
-262,-3129,-858,9076,-2798,-1586,713,-4315,-1168,11614,4610,-6955
-534,-2113,-774,9446,-3563,1396,593,-4727,-1314,9543,3086,-7104
