1838,2223,-346,2415,1408,-3498,6686,-11582,-932,3516,10202,-3425
2350,2287,-1176,4096,2644,-7144,6862,-11654,-466,4151,12178,-4574
1862,4175,-1370,2068,4296,-3912,6514,-11196,-560,3412,12428,-3883
2346,4145,-1878,1024,2594,-3840,6612,-10532,-422,3184,10785,-3827
2170,4655,-162,1024,1033,-4008,6904,-10398,110,3623,9298,-3612
2922,5233,-114,1600,2320,-3832,7636,-10800,370,3771,10853,-3946
874,-825,-314,64,4480,-5852,7094,-10476,-102,2665,12719,-5831
1842,5519,-202,16,8576,-7919,6540,-10716,328,1773,9915,-5751
2386,4407,-88,64,8192,-7152,6824,-10608,1110,1367,8594,-5071
2862,-1729,32,1028,258,-5876,7220,-9716,1012,1119,10601,-5919
2618,4665,-346,9,8,-6078,6808,-10134,938,1176,10736,-5887
2858,3685,-218,4,1042,-5600,7008,-10308,792,1526,11379,-5574
2018,2665,214,48,1288,-5979,6646,-12418,584,1357,11658,-5443
2482,4551,-346,1,276,-7808,6710,-10028,-16,1069,10680,-4687
1962,5361,-330,204,868,-8191,6232,-10884,134,793,8949,-3962
2412,4211,214,1605,8781,-8000,6942,-10886,454,1918,9999,-3955
2090,3119,424,1,5126,-5593,6796,-12122,368,2878,13602,-4275
2386,4663,170,128,6528,-7552,6662,-11162,332,2466,14704,-3096
2092,4849,-186,1862,2048,-3784,6252,-11096,510,1852,11904,-2537
2346,4783,-346,966,0,-3968,6662,-10330,900,1998,9346,-3530
2538,-1969,-26,676,328,-7146,6688,-9826,1184,2028,9061,-4336
1836,-1487,-346,2240,2060,-6368,7232,-11862,1508,2705,10435,-4202
2618,5587,-330,2199,4096,-7142,6734,-10292,672,2392,13839,-4754
1946,-1611,-346,1233,1167,-4019,6044,-9592,558,1746,9581,-3943
2738,-1985,-294,6,8202,-4076,6976,-9956,1476,2103,8343,-4039
2442,-1991,-246,320,2193,-6136,6492,-9636,1074,2526,10755,-5536
1836,-1987,-74,96,3074,-6142,6024,-9622,1588,2686,11444,-6010
298,5167,1712,3008,8482,-7934,4580,-10360,2482,3041,15009,-5786
1146,3383,1746,2048,17344,-7663,1130,-10486,1796,3436,18359,-1991
-8374,5431,1990,2308,12309,5186,-2174,-10906,1552,2549,15365,6216
-3766,-1953,-190,6,66,3074,-2546,-10448,376,1595,11926,11529
-4310,5271,1452,-5359,8247,12290,-3156,-10218,-2100,-1812,7851,12744
-3088,2959,1254,-6864,4136,12370,-706,-8152,-2860,-5993,-785,15977
-134,815,-2266,-7162,2402,2312,2008,-6716,-2656,-4498,-4144,18198
-212,-331,-3410,256,6272,16687,1084,-4714,-3054,-5517,-2379,18540
586,95,-6292,1027,1045,5249,2748,-3744,-2280,-4950,1245,13288
2130,-3855,-3390,131,536,8400,3516,-2438,-2952,-9356,-1150,11342
3452,-1977,-2262,2048,4288,8722,3686,-1350,-2098,-13274,-653,8587
1526,-5329,-1174,13844,2081,120,3800,-2022,-278,-16763,3006,5455
12076,-25543,504,2051,16002,3216,18052,31220,32497,-23779,17598,14417
4154,5183,-344,-7003,2882,5153,2082,3712,2038,-8126,7929,-2416
-6790,-1981,3462,-3083,144,4244,1604,118,3554,-1889,-347,-3829
3962,-1919,-314,-6723,4136,4101,5538,2546,2044,-2994,5996,-3124
2926,-5029,16,2050,2115,8220,3182,-2652,3682,2361,1953,-6590
3946,-2973,294,817,10,406,4216,-3848,3130,3004,1452,-11428
-140,-7569,-1594,536,2179,145,2208,-7092,-828,5063,-750,-15636
-210,-1727,918,2332,1092,12293,3438,-9006,1142,3367,1674,-18230
-208,115,422,1,276,12993,2136,-11458,1580,4199,5613,-16325
-6864,3413,-314,4608,8585,69,1240,-12234,394,7038,8188,-15963
-7296,2341,38,8322,8192,2064,-42,-13810,554,10731,9263,-13180
-4206,4223,-314,2304,2148,2384,4178,-10672,374,7069,10444,-9385
-86,3351,-48,4368,6673,4994,5040,-10610,634,5302,7238,-9265
-150,2099,1322,232,9068,2,4228,-11724,-360,3769,10773,-7524
