1038,267,-148,-488,-238,33,5040,-7977,1984,-406,-41,-8
1084,169,-192,-467,-252,2,5036,-7995,1892,-418,-83,-23
1042,277,-202,-442,-254,-63,5002,-7991,1984,-415,-82,-29
1156,269,-264,-428,-224,-53,5044,-8025,1956,-418,-142,-34
1188,239,-130,-424,-213,5,5072,-7987,2002,-422,-104,-19
1156,205,-250,-512,-224,0,5066,-8035,1986,-403,-92,-55
1148,271,-192,-960,-245,32,5076,-7989,1904,-442,-128,-19
1118,-247,-154,-506,-224,69,5056,-8077,2010,-404,-109,-40
1204,307,-138,-500,-128,9,5112,-7965,1976,-416,-84,5
1100,233,-186,-504,-252,74,5082,-8023,1932,-374,-102,-16
1086,281,-266,-512,-236,84,5106,-8013,1928,-391,-47,-30
1028,161,-130,-416,-252,32,5078,-8067,1866,-368,-79,-34
1092,129,-250,-510,-239,0,5110,-7997,1884,-390,-134,-45
1212,247,-248,-500,-206,-128,5066,-8061,1958,-420,-195,-72
1084,-111,-198,-495,-496,-156,4844,-8521,2000,-237,-389,-26
324,-169,6,385,136,164,4834,-8179,1954,-612,454,-81
-5756,347,246,-1787,-734,64,2302,-7675,2434,-1954,-973,1041
-7932,-135,-122,-1531,-2144,1353,854,-7003,6598,-1294,-1751,3495
-7812,361,3864,-967,1544,272,34,-7877,4128,-331,1857,5040
-7364,4905,1786,16,322,8212,-422,-8773,1576,125,1837,8481
-6008,-247,2134,33,1546,8202,-246,-8393,1928,17,1486,9723
572,1065,1782,0,1024,9608,736,-7149,2116,-995,-2432,9345
-2898,2125,310,-3062,14,7364,-2012,-299,124,-3834,515,7337
-3972,137,1734,1538,-9972,8200,-7890,451,1812,1728,-9046,8323
-7844,-227,-266,3264,-3119,8706,2394,-9019,1282,3350,-2691,8858
-5828,2939,774,4111,4288,818,-5244,3347,272,4177,6298,272
414,3979,126,1232,311,4160,5766,-3503,946,1514,-6015,5880
2812,3985,-2184,131,-16383,3072,7152,-2231,-828,2323,-9489,7713
9540,-245,-202,4404,-16095,4116,11508,1085,-1806,4305,-9148,3618
8716,2121,1910,840,1304,-2992,8908,-977,2172,634,-4447,-2499
516,-2087,-254,384,32,-4440,4858,-1841,7520,-5559,2247,-4005
-3808,-2251,-246,-1280,8457,-7100,-4042,-4091,8572,257,8704,-3900
-7534,-2295,2198,9,512,5,-2268,-2229,6452,-3230,3205,-1227
-3640,-247,-234,279,4,1059,-2178,-2663,8524,-77,4707,4144
-7424,-231,316,325,4128,24,400,-575,4488,734,5186,-1613
-3766,271,2396,1140,-6822,3585,-2768,-2699,2800,434,-2579,5232
2044,-215,-132,590,44,1024,4222,-257,1222,608,-225,4706
-6914,805,2070,24,6212,489,7412,1081,-334,88,-9587,1691
