781,-6642,-49,1283,81,-3071,608,-17061,-2070,1309,13605,-3094
605,-6578,-125,32,16492,-4030,678,-15937,-1768,9,18415,-1309
-433,-7022,267,8,4100,-2039,-498,-14521,-1196,-1060,14907,-895
-1027,-7150,523,530,58,-4094,-986,-14749,-438,-1422,2863,-2995
1597,50,403,0,393,-3768,1940,-15301,3048,900,7585,-1698
1677,282,1275,200,8196,-2560,1580,-15389,1326,895,9959,-347
-451,-7134,1027,1360,0,5,80,-13887,-1182,1805,6319,330
-385,-7154,1927,64,2592,206,8,-18063,-568,1155,3696,1124
573,-7010,1571,2317,1813,-3647,1426,-15233,-434,2856,4384,167
1597,-6126,2003,47,8202,326,1432,-15751,-376,2840,10408,2290
2685,-7154,1987,2061,1324,139,788,-14545,-978,3153,10162,131
573,-6894,1063,2897,8224,-3839,1310,-13787,-958,2785,11803,-728
701,-656,227,2112,560,-3958,598,-14679,-1876,2269,10955,-1196
647,-6642,395,2065,48,-3564,986,-14081,-1596,2572,10346,-2207
641,-6122,939,704,16,-3056,442,-15675,-2358,1913,10467,-3087
-323,-7150,-115,1222,114,-6087,-288,-17353,-2128,1194,11125,-5153
2689,608,387,-846,5197,-4088,596,-15083,-276,-342,13801,-2659
2629,660,387,-895,8338,-4062,-404,-14983,-714,-925,10115,-1302
2649,30,135,-1804,1282,-4074,-410,-15399,2148,-656,5571,-3450
69,-7148,69,-1024,9770,-3968,-106,-14071,1774,-439,9576,-2045
-1015,-6546,531,264,545,-2494,-554,-14005,1460,300,2430,-257
2879,-7090,1547,304,80,520,-24,-18175,5540,2109,3081,4241
-12565,5648,5111,13388,576,259,-8438,-23305,6160,14586,11507,14458
-13507,9266,4549,20512,464,144,-10226,-21345,5002,20469,16409,29190
-5471,-2994,-1721,2445,2689,0,-4988,-14485,-1012,15722,2790,30262
-1983,1150,-4149,4674,-5552,3660,-1926,-10097,-4294,6235,-1298,28052
-1217,22,-7803,5713,-16361,129,-370,-6577,-4726,-2452,-5388,20632
-17,-7152,-7287,640,-7163,11784,-280,-6469,-5266,-7879,-5022,15935
-3,-4530,-3691,1024,-3708,12579,188,-7545,-3662,-13453,-853,13074
2625,-7090,-53,13578,64,20,1048,-9335,266,-19302,200,9084
8029,-4946,4005,176,0,-8128,-20794,-4187,-10196,8246,8611,-5023
4173,-7018,1945,1282,-6104,8225,4282,-4347,2440,-5365,-3010,-4287
3235,-9070,-125,2112,-7678,3401,4676,-6407,3940,-5815,-740,-13370
4039,-9458,2565,6848,915,3072,1342,-9231,2658,-9323,3048,-21305
-5443,-3282,2963,69,107,289,-2496,-10889,3616,-11184,2977,-26289
-6595,590,-117,3104,6918,2085,-5730,-15681,1470,-13240,7364,-25528
-5481,-6130,-117,2048,17415,260,-5080,-17671,122,-12801,17939,-22478
-3475,-7116,4039,2197,5124,14980,-2892,-21689,-2464,-9422,24700,-16371
-5313,-7152,1047,43,16645,1024,-5082,-21251,-4384,-4447,20850,-10286
-4035,-6768,4519,2112,80,1032,-3844,-17629,-3516,-1569,8598,-4735
-3041,278,3027,-1792,192,-2046,-1628,-15117,-924,-1377,8771,-86
573,206,211,-4092,784,2080,774,-14943,168,-2156,11358,3836
-317,-6888,111,-1532,12832,2436,1604,-14903,652,-1383,13188,2947
1021,-6434,-117,1184,14512,32,1576,-15767,1080,1341,14492,1529
605,-7116,967,2080,1920,1923,1070,-15749,1160,2455,11877,2007
573,310,483,1664,6533,3124,552,-15217,462,1943,6753,3267
637,-7026,387,544,624,3072,528,-14523,-516,832,4515,3298
-705,1294,445,260,-4596,1926,406,-14315,-676,429,-526,1825
651,-7088,-125,1040,-4040,12,1396,-14603,50,1129,-2057,282
1663,-6512,-789,16,304,610,1834,-16003,-866,1557,1126,1029
1605,-6898,147,144,385,1563,2018,-17275,-1540,1351,4782,1656
575,-6778,547,128,2391,149,1264,-16253,-1496,2229,7313,139
589,-6862,-65,1056,640,260,862,-15405,-1548,1792,9202,347
77,-6724,899,26,528,-5588,148,-14171,-1040,1557,8716,-355
2623,-6862,963,1124,0,-5047,836,-13495,-1172,1659,8446,-746
575,-6878,3,10,1082,-3416,484,-13921,-1698,2100,9641,-1354
