330,801,-815,-492,-187,1,241,-15342,-949,-378,-59,10
220,835,-789,-512,72,16,205,-15370,-911,-428,114,-19
206,773,-951,-479,21,0,145,-15300,-883,-402,40,-2
246,813,-983,-496,-192,32,219,-15392,-847,-410,-59,-17
70,779,-801,-503,-256,1,47,-15352,-963,-493,-256,32
2412,-6847,1123,-1016,1312,1456,-2425,-16996,3019,-216,-2291,1759
-5718,-4733,167,4115,2080,9472,-6635,-19946,4531,4643,3976,10866
-11290,-6895,-705,2112,4284,6224,-11741,-22652,4253,10951,4218,23560
-10424,-6635,1081,7216,16695,4096,-9641,-20332,761,15644,-1263,31065
-14010,-6157,-953,13590,14348,93,-4255,-15558,-3059,15954,-1553,32767
-1706,-6909,-4017,2202,146,5193,-437,-10436,-4043,11369,2535,29683
1094,-6655,-5015,4192,3236,4130,1697,-6340,-3503,4258,3209,23406
2450,-4855,-3513,6529,293,16515,5009,-3676,-3715,-959,5619,16124
2850,-4749,-4049,4138,357,8595,6067,-3528,-3513,-4185,11522,9067
1990,-3707,-4909,1088,12,192,7559,-3000,-5003,-7352,17122,870
2246,-6885,-6103,416,2304,4163,6663,-6372,-5839,-11568,24562,-11426
1998,-6655,-8611,16712,14344,10320,-4343,-9106,-8995,-15181,31385,-22572
-30394,-11005,551,140,2373,3112,-31001,-10810,5651,-10810,4373,-11585
-30778,-6843,9767,194,256,11273,-20647,-5094,10099,5326,-11903,12252
-14330,-6847,-961,0,16,576,-5455,-6600,-1329,8636,-10346,18075
1612,-6867,-8617,3607,-28566,130,2405,-4170,-5547,8043,-28291,12049
5332,-2301,-5071,6144,-14848,0,10051,-1722,-4183,6896,-13523,6753
1914,-1119,-9041,-2808,4425,1536,12215,-970,-8213,-864,8085,-1134
1862,-5247,-8023,256,305,20,9761,-5096,-7803,-11389,16902,-17019
1862,-6235,-8713,8224,5129,4633,-1033,-11234,-7437,-18225,23211,-26961
-30906,-5951,3367,-7789,1299,7172,-31001,-10998,6051,-6143,4543,-7395
-25274,-6239,7217,8232,8,11521,-15773,-4442,7493,8828,-7446,16267
-13498,-6389,-5073,8740,520,2305,-2967,-6068,-3741,10919,-12611,19718
2392,-6801,-6329,8193,-16372,2124,8821,-3112,-5467,8072,-14289,14099
2390,-2797,-9173,819,-3752,3089,12601,-510,-6969,-603,-1716,2196
1990,-3807,-5043,3132,1033,164,9865,-3552,-4963,-8942,10383,-14016
2968,-5343,-7977,65,1606,8708,-1935,-9568,-4907,-14758,20678,-23924
-30230,-8413,1063,-8063,2084,514,-31001,-7090,3343,-7782,4834,-9993
-26554,-2785,7335,5064,72,9472,-16607,-2186,8851,5634,-12255,14406
-10250,-5727,-4869,8193,1312,2568,-1713,-5108,-3109,8764,-10938,19322
1880,-6623,-8537,1420,-30206,528,7253,-5050,-6413,8077,-22002,12619
3918,-6623,-9049,296,-11744,1544,12043,-2748,-5925,841,-1985,825
7386,-4607,-5075,1098,1760,512,9053,-3978,-5105,-8799,12515,-14448
3590,-6783,-9017,16,2240,1108,-1957,-8562,-4577,-15039,19724,-25044
-28826,-7597,-933,323,17,4644,-29933,-6678,6513,-7406,182,-9931
-30770,-6845,11303,8,520,14052,-19047,-4196,12207,6324,-4482,15109
-14266,-6895,-905,8593,4993,16928,-3299,-5768,-2759,8558,-11788,22220
1886,-6653,-4353,525,-11766,1625,6765,-6208,-4157,6970,-11607,17414
1862,-2807,-7951,2070,-16349,1552,12277,-2062,-5327,1782,-7543,636
1890,-5823,-4419,144,4684,524,10261,-2994,-4439,-6209,6704,-14470
2374,-8939,-8153,3844,6274,1026,1775,-7444,-3715,-12837,16064,-25443
-29712,-6649,3127,4608,4713,4288,-21619,-10168,5199,-11190,3380,-16695
-28470,-5365,10431,1105,4164,10377,-27875,-4764,14065,4645,2289,11917
-14360,-6121,-945,8329,2708,16512,-5243,-5958,-1669,11350,-14035,22338
5986,-5551,-8145,9522,-12220,2198,6553,-5054,-6157,9383,-11924,18208
4422,-1677,-9155,754,-14840,3244,12699,-1314,-6053,1462,-5880,2732
1926,-5607,-4567,0,5908,3080,10339,-3404,-4527,-6316,6474,-13774
1938,-8297,-9175,4096,8393,7168,2295,-7812,-5365,-12593,14614,-25445
-26596,-4731,-569,3896,4256,4244,-20277,-11570,1245,-12251,10963,-18758
-28638,-6493,319,9,-5872,2176,-28127,-5576,16201,1017,-1916,7876
-14510,-6775,55,9370,3396,16425,-8419,-6026,1249,11879,-13345,21753
