-3587,-5740,311,-5503,-415,-14507,-3442,-5616,378,-5112,-439,-14191
-3609,-7046,123,-3456,1076,-13648,-3506,-6768,8,-3580,1138,-13839
-3123,-16166,211,-3544,128,32,-2928,-16588,150,-3468,88,32
-1803,-17788,-73,-3023,-1792,136,654,-18224,-118,-2560,-2032,68
471,-19334,-163,-1968,-2912,3,654,-19106,376,-1852,-2872,-8864
463,-20318,317,-1255,10,-6272,594,-21164,390,-1535,18,-6007
461,-20734,189,-878,226,49,598,-21124,158,-827,72,28
2637,-21246,-75,-480,144,-3024,2766,-21770,294,-448,2,-2808
2509,-22406,271,1084,138,513,2670,-22324,144,1024,549,580
753,-22370,83,546,1409,4,850,-22132,-66,33,1540,1
797,-14980,-197,400,3604,0,976,-14896,-114,512,136,73
-3633,-23172,-189,741,2373,520,-2738,-23088,-102,751,2608,312
-5487,-21382,343,257,2050,3074,-5762,-21234,504,540,1536,2328
-9435,-19330,565,330,2336,-5116,-7602,-19252,-70,134,3110,-5631
-5471,-15174,3637,2048,7086,161,-5544,-14978,3574,2128,7169,720
-1331,-16466,5947,2122,4648,457,-1370,-16106,6166,2209,4650,132
5077,-16254,7219,3292,4656,-19456,4800,-15860,7120,3344,4162,-19456
10815,-18818,3941,777,0,-19421,12878,-19252,4088,261,36,-15959
12893,-20742,-2125,192,181,-7693,12942,-20782,-2150,49,5,-6909
9165,-20094,-7947,145,8213,2180,9262,-20266,-8322,521,9168,2816
5901,-15140,-10341,1546,17,12290,5974,-14772,-10250,2083,2,12352
-6301,-14214,-9373,2072,8515,9217,-7026,-14132,-8062,2208,8576,9265
-17647,-7046,-5309,144,9736,-1484,-17694,-6308,-5250,265,8476,-2039
-11567,-22900,1925,1544,4354,36,2572,-20156,-2036,3485,12636,1
-10759,-15206,6003,2049,8320,-8172,-10666,-15140,6874,2123,8274,-8187
-10671,-6018,1911,20546,4352,-12148,-7574,-14132,2454,20544,4128,-12095
-7667,-15140,995,13376,896,-13807,-6990,-15024,-68,12326,5,-13213
-3123,-17262,8919,3,5344,-14336,-3506,-18954,8628,193,4883,-16192
-1535,-19076,-75,129,8192,-16363,-1178,-18932,58,104,8485,-16334
2125,-19844,-173,6210,5376,-14326,2290,-19764,-82,6145,5132,-14270
5757,-19842,5943,2,12800,-15097,6510,-20012,6198,64,12470,-14318
9693,-21116,3927,6021,7784,-8190,9806,-21280,5750,5632,7192,-8010
8669,-19234,63,264,4115,-7642,9246,-19232,-70,160,4100,-8020
10317,-14166,-2125,132,3267,4353,10318,-13968,-3614,419,3152,4610
4645,-14466,-11401,8,2304,26,4690,-13068,-11902,-6904,1336,1
-7089,-6120,-77,8656,4636,34,-6954,-6676,-104,8972,4650,0
-14873,-22098,-205,19208,2056,1760,2176,-20990,-12,-83,7688,4022
-11307,-18134,819,25636,8246,2561,-11346,-19248,-94,25872,9253,2148
-11761,-6978,883,24613,0,28,-11138,-6916,1278,24768,6661,64
-10459,-6398,-173,20524,514,2624,-10610,-6900,-82,20493,64,2085
-4521,-17204,4453,2056,4129,1544,-4910,-17124,4008,257,8192,1329
469,-14706,439,4672,1609,-18416,662,-14510,-104,4360,8224,-19904
2765,-14534,4919,4096,8548,-22474,2758,-14514,5024,4096,8449,-22272
6743,-15994,5981,1,2,-20348,6814,-16948,3958,144,290,-20223
10743,-18238,835,7174,8307,-15096,11022,-18224,1206,6144,8227,-14162
12961,-17924,-3657,4161,2312,-8191,13074,-15138,-3434,4265,14,-7680
8809,-14206,-10315,514,2059,4106,8782,-13566,-11624,1045,1289,4880
479,-13886,-16589,9,6151,12484,606,-13612,-16514,600,6568,12368
-9775,-5254,-15533,912,4096,12288,2480,-23270,-1046,1632,8146,-834
-15777,-5902,-8393,3414,9556,6272,1716,-17344,-1228,3387,9792,-2101
-15885,-5764,1939,16,8969,-6528,-15730,-6932,3014,31876,9252,-6811
-15283,-6778,-61,20921,6,256,-15282,-6832,2182,20482,5861,17
-7679,-6914,15795,8194,8,-16080,-6490,-6196,15222,8272,0,-16128
-2107,-16244,-173,578,1600,-19966,-1518,-17202,-118,69,1540,-20096
1937,-18042,827,2240,7216,-22428,2262,-17652,1142,2768,6961,-22016
4817,-15228,5731,2152,32,-18239,4950,-15154,5502,2061,0,-18303
6101,-20198,2477,777,5632,-16240,9168,-20268,2488,523,6274,-14327
11249,-20838,-1721,3078,1152,-12084,11492,-20250,-1642,2928,0,-12284
10781,-14852,-2077,2193,2560,1166,8790,-15058,-6026,769,650,72
8657,-14722,-7885,2048,521,8320,6798,-14642,-8060,8,18,9346
461,-14080,-73,384,518,13064,-1968,-14608,-100,340,69,13313
-3623,-6908,-11437,20544,3330,13515,-5552,-6718,-11848,136,5120,13312
-15571,-7038,-4011,260,1159,4353,2054,-19642,-1756,2853,9476,-1343
-15919,-6982,1891,550,1058,-1648,1156,-14808,2452,198,9418,-989
-15883,-5510,845,21120,2065,1666,-15282,-5684,886,20565,2403,1312
-10761,-6514,71,12288,16,580,-9904,-6452,-120,14086,0,544
-1313,-17650,-71,1156,544,544,-1074,-17636,-132,594,544,557
481,-15204,147,513,0,24,692,-17788,254,177,83,268
4629,-15108,-189,20,1192,136,4850,-15088,5494,8,96,84
8655,-19732,1847,4428,9376,-13815,6888,-15136,2062,5123,9283,-12288
11245,-15174,-167,897,4100,-8192,11348,-15078,-1492,967,3616,-7644
12777,-15214,-5891,768,1029,17,12878,-15116,-5246,1152,260,1024
9495,-13698,-8397,3200,1575,9792,6670,-15026,-14298,256,1030,10305
-3571,-13188,-12677,531,4224,16612,-3442,-13076,-134,2211,4320,16388
-9455,-6980,-11991,32,4102,12433,-11654,-6964,-12550,801,5104,9856
-15779,-3842,2357,2208,2122,-2015,-15266,-3828,4248,2112,260,-1814
-15407,-6562,3139,28492,1939,-5824,-15142,-5934,-8,27945,56,-6142
-15787,-4994,-201,18698,4352,436,-15402,-6324,-66,17941,4144,976
-6609,-6646,57,9856,1,1156,-5910,-6578,-114,9568,530,1160
-1071,-15620,-77,5,3332,264,-1458,-15648,376,1813,2584,170
2529,-16774,307,768,128,-22518,2734,-16880,374,272,148,-22400
6423,-14724,-5,2306,60,-20424,5966,-14348,-58,2448,32,-20304
9435,-14630,4419,1304,34,-16379,9566,-14484,4214,1152,6724,-16319
12877,-15222,2867,3090,4858,-10734,13006,-15120,3208,3073,4868,-11666
12797,-15220,-1681,2,128,1824,12926,-14960,-2130,144,4824,5121
9191,-14974,-7883,516,256,18464,8910,-14628,-8644,1536,5238,18832
-5537,-4996,627,16449,6180,1025,-5554,-6708,-64,16896,0,1032
-20011,-6982,-8837,75,8204,5,-19360,-6196,-7818,264,8203,1226
-11315,-6566,-185,2304,8196,550,-11186,-6900,918,2886,8513,0
-15903,-7014,2871,16,66,-6858,-19082,-6410,2974,32,8,-7157
-20003,-5766,2875,17973,48,1029,-19594,-6252,2718,17414,2048,640
-4387,-4846,915,12320,3716,2,-3954,-6914,886,11782,24,1952
1053,-16742,10835,4130,596,-22504,1118,-16516,9846,4122,586,-22460
6605,-18532,9043,4802,68,-21968,6766,-18444,8606,4770,56,-21957
8781,-19190,5173,5128,70,-18426,8922,-18992,4990,4755,2,-18400
8695,-15174,-2087,1985,6144,-15272,8782,-19242,-2154,1458,4100,-15342
13007,-15158,-2085,4390,2053,-3902,13142,-14964,-2036,4098,2220,-3966
8973,-15232,-6339,1704,2060,12673,8958,-15100,-5732,2086,1029,12808
5145,-14166,-12347,8,7248,14468,5198,-13940,-13318,2193,6424,14608
-5295,-7042,-11597,24640,64,15616,-3472,-3804,-11892,24912,268,15376
-18415,-4466,-11917,216,7,8266,2106,-20294,-1304,1581,9956,-484
-14867,-2910,-57,1888,8897,1,1480,-16494,268,1833,10990,-4213
-19639,-6996,1867,26648,0,-12176,-19632,-6962,2110,24704,136,-12287
-11507,-2934,283,14273,2120,-20144,-10544,-3760,-10,14400,544,-20445
-1537,-6530,-173,1634,2688,-24576,-1458,-5858,-2,1280,2965,-24528
2085,-16258,-45,8,6672,-24414,638,-15652,538,165,6236,-24062
1897,-15230,-205,64,21,69,2266,-14988,-126,468,32,60
6621,-17154,7221,594,320,819,8846,-17156,7034,1068,380,131
10989,-15204,1859,2291,4,-16064,11086,-15092,1928,2496,0,-15360
13281,-15144,-2237,3097,333,4,13006,-15126,-2184,3089,0,34
10769,-15190,-4295,2354,9216,8608,8916,-14580,-4474,2336,9225,8726
4941,-6884,-13479,898,512,16433,4910,-6900,-14074,1984,1610,16425
-3311,-5906,-43,18708,8736,21528,3134,-16882,-164,-1767,10767,-410
-10459,-6014,-12477,2865,12319,336,1976,-21404,-1574,2802,13091,665
-15923,-390,891,3893,9216,8450,-19884,-6956,118,3697,8484,6429
-18987,-4998,-163,20993,10248,62,-18754,-5698,-26,20544,8739,11
-11815,-7044,-167,14856,1233,-13276,-11634,-3856,78,14336,1169,-13791
-7709,-6400,4407,513,6241,-19862,-7346,-5748,4544,579,6224,-19934
-3247,-6966,371,4681,2194,-24191,-2300,-6830,390,6153,2345,-24308
2543,-15210,83,0,72,-24220,2678,-15088,118,65,41,-24431
5235,-16964,4761,1472,2244,-23460,5896,-16948,4600,32,1414,-22496
12789,-14974,2423,2864,2632,-15804,14032,-14964,2552,2685,2624,-15872
12753,-15142,-1165,1292,1265,-7924,12878,-14900,-2184,608,1280,-8188
12787,-15042,-4285,976,4232,8195,12886,-15028,-6276,1412,4129,10320
6613,-15074,-10113,2066,5124,20516,6750,-15104,-9722,1600,5122,22017
-5683,-12916,-185,256,144,14402,-6674,-12852,-122,224,512,14736
-15795,-2886,-10411,25088,522,6408,-16786,-2868,-10486,24644,265,4098
-11819,-22902,1879,29026,3585,-3568,2122,-20684,-788,-403,8068,-1671
-15901,-15798,2109,67,8490,-7535,-15088,-15636,2422,586,8387,-7646
-15711,-5236,3123,16408,6548,-11198,-15258,-5428,-102,18581,6184,18
-7713,-16550,11071,8450,3344,1025,-7600,-16372,10780,8284,3592,542
-1423,-17014,-203,3328,11345,3,-1934,-16820,-2,3176,10240,-21758
5111,-15526,-173,2185,2064,-24175,5774,-15556,-38,1544,2161,-24190
11213,-15002,4931,96,11683,-20968,11342,-14960,4534,3080,10305,-20990
14797,-19814,-2077,4632,256,-12206,14990,-19752,-2110,4867,34,-10240
14669,-14850,-8253,1,8550,4401,14746,-14832,-8296,20,8228,4872
10013,-14214,-12019,4704,6543,13340,9966,-13962,-12394,4240,6156,13984
717,-12932,-199,310,532,20488,590,-12836,-58,1281,643,20996
-7183,-2462,-16585,1029,1025,16641,-7552,-2660,-16522,35,1152,68
-10641,-2750,-2205,2692,2131,10520,-10658,-5732,126,2712,3085,10386
-14863,-4998,1843,24578,8776,2624,-14736,-4580,1930,21648,8448,904
-15403,-6606,275,19522,1024,97,-15702,-6836,-74,18688,672,65
-5035,-6974,5939,514,0,-16283,-4530,-6956,6074,280,672,-16184
-1069,-5998,65,16,6664,-24560,-1104,-5868,126,0,6688,-22976
5649,-16240,10561,2693,2368,-24540,5730,-16052,10642,2224,2310,-24575
9805,-17726,8503,4616,8611,-24064,10320,-17666,8066,4674,8192,-24282
14305,-18822,-173,464,6696,-14544,13042,-18996,-122,356,7168,-13816
14541,-14842,-6285,2560,33,4104,14320,-14580,-6282,3217,0,4288
8865,-14548,-13481,2321,782,18440,9086,-14450,-13706,321,402,18952
-3443,-6774,-107,17512,10248,64,-3506,-6836,-130,19014,8215,0
-19747,-4334,-14529,76,3218,2180,2460,-19926,-1850,2513,11882,2287
-14889,-7046,825,4,10282,1954,-14818,-6674,-90,12,10758,1416
-14899,-4968,2123,22017,8354,256,-14386,-4916,2422,21912,8208,137
-7083,-6018,-201,12306,0,69,-6818,-5808,118,10244,10,1
-1067,-16774,9035,1252,2176,-20189,-706,-16422,8678,1170,2244,-20432
541,-15238,315,512,10433,-23792,1168,-15154,-104,264,10304,-24016
4621,-15108,-197,3107,131,-22736,4898,-15152,-134,2562,754,-22732
9765,-18660,2507,2592,4356,-16240,10414,-18676,2566,2432,4641,-16041
13141,-20324,-4187,524,1921,-8160,13142,-20268,-3844,544,80,-7680
12917,-14434,-5929,4096,4100,8520,10448,-14256,-7300,2050,4113,9603
6629,-15226,-13261,162,265,18512,4718,-12996,-13362,1026,264,19012
-6163,-13566,53,432,1057,0,-5938,-6802,-122,104,1856,293
