7,139,-294,-572,33,723,1745,-15471,-1851,-706,286,-622
553,-117,-326,-239,-746,-196,1855,-15215,-2063,-351,-869,54
889,-55,-374,-260,-566,-178,2179,-15047,-2229,-575,-743,210
931,243,-456,-254,-723,133,2483,-15215,-2031,-670,-547,-114
923,377,-256,-344,-443,616,2423,-15391,-1977,-530,-220,-202
591,631,-124,-674,201,399,2431,-15627,-1937,-356,-164,-310
543,257,10,-731,688,-114,2327,-15231,-1765,-487,897,-116
789,-239,-558,-1246,902,-220,1759,-14779,-2161,-481,375,217
677,33,-498,-581,917,166,1595,-14913,-2509,-630,-632,288
549,347,-450,-452,-285,426,2351,-15521,-2177,-575,-1661,-229
743,391,278,-474,-387,526,3129,-15735,-1441,75,-468,-601
889,111,-302,-899,87,-391,2861,-15151,-1609,-313,1417,-25
499,-21,-338,-750,997,-711,1903,-14955,-2257,-525,1053,38
181,91,-436,-677,1405,-498,1479,-15217,-2523,-305,-612,-241
249,115,-382,-867,79,357,2395,-15501,-2007,-98,-1667,-533
525,83,-368,-606,-598,103,2549,-15131,-1725,13,-888,-204
743,359,-430,-349,-771,-88,2273,-15081,-2159,-293,144,436
595,361,-162,-285,-469,76,2307,-15141,-2243,-462,186,315
447,-45,-64,-410,-889,245,2369,-15123,-1873,-274,-89,-137
825,-11,-412,-230,-1462,-25,2353,-15133,-1865,-399,-72,166
245,819,290,-185,-779,-339,2897,-15613,-2089,-496,1271,1298
-2721,1539,1500,-629,-435,-1780,2667,-18399,-225,-421,7869,5717
-4619,2821,4242,-6302,2232,-9645,-3883,-23725,3267,4440,25835,20617
-14253,5521,4142,-6973,8309,-20537,-11965,-25249,1873,14194,9706,24503
-5765,2157,7258,-10722,3285,-25545,-8113,-18881,895,19725,-886,21822
-1253,123,3158,-12194,-415,-29896,-7569,-15973,-3115,17387,-9314,22565
2293,183,-548,-17920,-15599,-18961,-5629,-13491,-4811,14624,-10558,22656
4519,-2645,-3070,-17172,-28577,-16413,-3827,-10703,-5255,8050,-9249,20333
6195,-4903,-7272,-11422,-21869,-18241,-1061,-9971,-3371,534,-5376,16294
9459,-8967,-5216,441,1589,17282,605,-8545,-2557,-5226,-1150,11723
2787,-9933,-6244,3828,-11231,18130,2493,-8379,1139,-9297,-561,6174
-2945,-7451,-924,16666,5843,4428,3111,-8171,5603,-8526,161,661
-9127,-7261,1624,18867,4757,6811,2811,-8763,8253,-10361,3860,-3968
-9245,-7529,3608,19296,5824,-2308,-311,-11355,10351,-10203,9838,-6975
-7181,-7581,4810,16988,3861,-5809,-2509,-11793,9987,-4520,8820,-8904
-3227,-7333,4970,14300,2002,-9170,-2291,-10997,8679,-846,6736,-11011
-2651,-7255,7142,10621,1335,-12469,-3801,-10913,9553,1803,10616,-11253
-1835,-8453,10758,2079,-2783,-10353,-8905,-9731,13691,8883,10447,-8149
-2075,-8417,12116,-7100,-2059,-7496,-13197,-9039,10481,17256,4648,-777
-1731,-6663,9582,-13374,-7309,-8684,-13619,-9225,2001,19145,-215,5354
-1357,-6271,6876,-16246,-6031,-8692,-11745,-7999,-2457,15822,-4674,9606
1027,-6903,4386,-17843,-9860,-5441,-7889,-6607,-2005,9028,-4838,12630
2887,-8395,510,-15274,-9315,-3017,-4669,-5089,-647,4497,-1549,12300
3015,-9101,-1916,-10298,-14092,-944,-2809,-4367,-1319,1204,339,10406
3875,-9459,-3262,-3993,-16703,2540,-2225,-5103,-867,-4391,206,8246
3593,-9791,-3600,2483,-14668,6012,-1311,-5453,-269,-7768,2062,5887
3239,-9683,-2338,8629,-10558,8463,-1157,-6603,919,-11372,1278,4636
537,-10339,-1388,12297,-4641,9221,-415,-7869,2833,-12235,2548,2897
-2743,-10813,2822,13668,3885,7395,283,-9215,5293,-12688,3666,-67
-6595,-11869,4860,13119,11297,3628,-637,-9937,9493,-11305,4760,-3973
-8129,-11695,5054,14598,15043,-2484,-1635,-10259,13135,-8488,7720,-6947
-6439,-10127,4616,15162,13433,-8981,-3321,-10173,14941,-2364,2391,-7448
-6481,-10585,3398,12357,6611,-9335,-2893,-8657,15359,3714,-2695,-7496
-1775,-9283,4358,3463,-2169,-5794,-4257,-8567,10801,9047,-854,-6322
1343,-8641,3132,634,-3380,-10374,-3969,-7797,4767,11561,-2834,-5412
2619,-8031,366,50,-351,-6662,-3273,-6405,-91,9021,-2294,-4245
4791,-7253,68,566,-2045,-2257,-2423,-5193,-3257,4003,-2681,-4096
3269,-4709,4082,2181,869,11130,-1721,-5083,-3479,-3385,-1814,-4062
301,-4171,9598,-934,4214,17084,-5361,-7607,1377,-12000,1658,-3517
-9129,-10031,12898,-11333,-100,12091,-9789,-9195,9247,-13060,7648,2749
-10537,-12723,5268,-21264,-2383,7591,-8641,-8157,14305,-8162,-1177,9510
