928,325,-1298,-1526,1608,686,2686,-15460,-2749,-216,751,94
624,317,-1394,-1066,617,353,2892,-15286,-2847,-62,-78,65
652,373,-1296,-819,-708,178,2810,-15108,-2591,-371,36,341
664,641,-1060,-682,-740,-39,2996,-15358,-2249,-321,-323,34
814,533,-814,-673,-262,-510,2762,-15470,-2015,-205,230,14
846,391,-936,-787,-28,-769,2768,-15480,-2145,72,-340,-79
934,229,-958,-901,-73,-706,2934,-15392,-2261,187,-206,118
792,235,-1060,-976,-164,-552,3000,-15284,-2283,124,-16,338
778,437,-994,-952,-101,-377,3016,-15314,-2253,87,29,339
690,403,-762,-894,139,-349,3028,-15210,-2205,29,5,211
672,441,-720,-932,163,-483,2974,-15174,-2043,-81,172,12
-78,381,-438,-992,596,-671,2602,-15736,-1675,-450,767,62
-1932,987,-1198,-494,1792,-2901,1592,-17868,-1345,-888,2607,2665
-4636,2157,1430,-1768,6862,-8364,-184,-20582,-477,13,5216,10865
-10892,1869,-1134,-3418,15737,-16544,-2948,-22210,-35,-374,11074,20551
-15506,365,324,-1685,13907,-25108,-8140,-20998,833,-871,3845,27254
-9254,985,-4364,7311,17781,-26207,-6468,-19550,-31,6978,-3078,29024
-1394,1495,-5838,8580,4127,-20194,-3154,-14980,-1957,9911,2596,30750
1548,-6331,-9758,10329,-3594,-26388,-690,-8768,-5829,6545,5048,30514
8222,-6293,-13694,15666,90,-18911,528,-4302,-7423,-1117,6050,21891
9040,-4201,-10206,16104,9256,5832,4450,-2268,-8855,-8303,8006,6327
7216,-2315,-5788,16349,6354,13774,5160,-4958,-8489,-13224,3186,-10347
-3890,-661,3314,12609,13622,12787,1274,-10304,-6295,-18925,3571,-18912
-22154,-5003,7606,-352,9447,1853,-19286,-21134,-373,-13545,-4219,-14536
-13348,-5553,4236,-2517,10844,-5625,-20562,-16076,11987,275,-5349,4338
-3138,-10611,-1924,-7160,-3569,-13748,-10512,-9688,2507,10148,2184,15757
8666,-14145,-10558,-8519,-14980,-10532,-3028,-7230,-4467,13267,-422,20935
14028,-15357,-13206,2712,-2678,-3213,11838,5372,-10703,10504,-8759,10823
12304,-12447,-9046,9869,-1191,11980,13628,5792,-10091,-6306,3727,-11985
4994,-7487,-5262,10338,4196,18783,5160,-7724,-8915,-13716,3237,-27751
-21064,-2911,2798,6987,8788,9331,-18502,-23404,-1153,-15823,4568,-19964
-22654,-2957,4336,-7202,7138,-10600,-25806,-18918,12341,2511,-5187,1759
-7670,-9019,-1758,-4890,-3171,-25453,-16884,-12306,4091,9809,915,15833
